mint,label,creator,n_creator_tokens,n_other,creator_rug_rate
11UWkTuhDK4wkzJzpYu7WnztNcwocNVZFPxVyhEpump,0,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,8,7,1.0
12fhde7Sur7DBXwCjKRbfR9H3fAsc1MKHMdqaEnqa1kf,1,DCAKxn5PFNN1mBREPWGdk1RXg5aVH9rPErLfBFEi2Emb,2,1,1.0
14WgmYoWB3ord3kNKfqozb8RjyuYtaE26BRF7Zcss6uk,1,73Wap1hJN5KGVQejmA2ePA6EQKfvPyBSjM8ouj1ZP8B8,1,0,
1jcCHdraURCKJZkNAPgKFqQAiJzssCzEiXjzoMkxLBo,0,3K81yjNznJaszxxiyAhbfpt8W8wydAA7bYoVjJuzKngm,1,0,
223rLjkQ2Z985NrXJmFYtw7FEdNwsbqPHTLMEZodhsNF,1,5APo1VNSS4Nkof5NctXvh8yF53vGrTX5kUku8LnDoFzt,6,5,1.0
24LZN9xZDuykKD5PdLYKiecSyAVX4UUQQunBsoBa5Qyd,1,G4YPCo3vuTTgJsse7YKpvomuM3Sk8n5MkeHjBJCsrPPf,1,0,
25f4SEFpExeZTmorMvDi7zWAx9h2zxM7Q7SgkSra9mYz,0,3nwHoJkQSeprG3E1QuRu7TTLniFzTq1wwKLSNAFP7pxH,1,0,
275gHC7WqaeccZSHJ86mjPYzrKzmTVTXjWeHgttjpump,0,AdS1mdDsBUUjmDWfsS1BdXYRB9NamRBWA1Due1xrDhWd,1,0,
28ER9oWz6w8bweHxAwhm1mio4m6z34L5pbtK9WTcBxmm,1,BMHC2ogUkbK6xWGbvYrd1Xxqr6tXUuzqyFgvC15Sx98F,1,0,
29bPiMik3DsmaCgSDstHusWtvkMttuZABgqGZS9Epump,0,DHNR3NhT9zR6WRNx7uujEW47E75T2hzVUrVjHJJ8ismb,1,0,
2BEdvDmMvkzzBGSXpJkinq37X2fUkKbyKuowq6XAGt27,1,E8K4YXLxUCqPsXaChDZibgzPRpUXbxeRHMbrSiTdJ2tt,1,0,
2DZGTcRTe43xmmXqTDNCWELkG3AYSq6QZyhiAv2F9yNq,0,FFbsio3p6EKmqGRQKGN6DoYT1wgpEhAe1EcfmRWDgvj8,1,0,
2FLDXgNLwffZgMGvPBLc4ABS2Z3MhWXK4EjnvUGW6sZi,1,8gKNYRjaN53Jqf1Q9yVDxyT1dn5y7okkdJLxmJCzFxSM,1,0,
2GTEst8DRuE4Zb8rF7zvLznJz95MAucQ1eUngXgDGiwK,1,ASbvwewDVWo8Y2bhviEgeVN6CPgHHaL5DxhEE2oEnrzd,1,0,
2J5uSgqgarWoh7QDBmHSDA3d7UbfBKDZsdy1ypTSpump,0,5Y6f4kjfzev4umuVmmtqm7G2YMaVCu54bznDiyWwpZ9u,1,0,
2KpNqQneeCxKxj7JeKWfvLYX3KP1CMu3TZfeapddYwtU,1,HC1MLHoBMtPMWUsmhBX9nSxiVTkwpME5Gd1juBtpWK8A,1,0,
2MQAtTdvcCJmdd5xdyAREZUsPYerWX1XSur5nFuVpump,0,7ufZNUaeprW2pRF8K7uJHPiecynS4NubM2A2Puc9oCK1,1,0,
2P68w6AU5gB1m5tKUU7XrG99oehGyStA1dCcbTXuDHo4,1,C2rAmYjaFcQFSKhEXRFHw2aS2Zd31DRBaVjRdvWEtBrt,1,0,
2QZ37M2shSm5Kkg78ndq9BiXiSwCu16fmmoKD61VYYv5,0,FtxKNugMJ5TsiG1CYMPn1Yh2CehzhBW3y4QhuCkiGLjB,1,0,
2SLk7TyBrZyoEsWqvtMY91Co3HFvucfGhdAAK49hpump,1,Ses3ATPa6kNvYXyUePcttuACeo1oFYQ1n9VQo4WrL3U,2,1,1.0
2TnxSM3Rub7cz5pLAzZ5BgXpPxmcPSawn1hS5PoGpump,0,2VHFwPPnNWfj8ZobhUQqcaoyyCHa6VfgNkbgufDDgs33,1,0,
2V7L7fPq7Y8G42hrCZ8RYrRPDPAQMuQpuNNebUKUTuXB,1,4JGyBxNwYjXfVo2gMQ7M2JYe55CFfvsqnDs4yYUJQiSC,1,0,
2WSv3UgCuhd3Pzkak22fL5hUqkiT3mau8eM3Daerpump,0,Awch9PiL7nwQqKNjXHzJd1KvTkFtauVqQDSjdUTqe28n,1,0,
2XnUMLpFVNK3cvuDKFePwCHjmMGv4TdQXXb7m1BwGgZo,1,HkiByNhD3cansahPiSqTQDgm5ppKrC7LJNAD3NkB98xY,1,0,
2ZZaE2gNQSPZLEFiNzBewgQhj3wGpx4oDzuAawh4DHBB,0,Aaht75BTNLSaH6vVmCWA6rvZW27F2ozBcZ4Wd6SNSjgW,2,1,1.0
2bJqYB2Fyfci1XyhXGxKBDLBBRARu4MXouajLYBpyMLP,1,7k2RD1MYGkWZ3mUaLZbcmaTkGTd7wJgnB5bcRi2MiUKq,1,0,
2dMKWJq3TwiVdsHo2St1bJxXFyLocTCYyeVdWxLqQYtt,1,31rpva2HqCKrL2uUdGA7F6i14ebbD2X51jC4fmXFkHvA,1,0,
2ez1pFrqmsXa4688qMQezgxGq7cDWhKPebJTHPSdUXDY,0,HYdRmL4oRLaLzsyBtBkH3dpXaRk2wvzuF5oq3xx2c1YU,1,0,
2g1ikRgMiosqMJDTrTfp2BQ6nJww3eE2GqL5EUcKveb1,0,3kStPXtC9hBwc9uXQaE1rZhpPXntWFtZo1mjvJKKYLUX,1,0,
2hfqGSRpkDkKXtp86Hk7WqwDG7DReZBCVjX7ADA9k6tC,1,2N449rDe2qJamPJYceyHXAaGEL4S6Fm4XcuWMBWvsDwC,1,0,
2jTrC3QB9fzNxG2jbDFMtSjLyqk1NtdhydV3Km8zETBd,0,cgNjj4aJUDTonjYuMWrfHmwawBofSTazBxQ5FLR1G6Q,1,0,
2kvP29UfcR4dANBaVZvRapRbK2xgikbp62nZ5zDSMsG7,1,7fgNP6pZeoWyPnEEkuSWMVJKX4YgJSwwpAMRxWKaZ3BP,1,0,
2ndiaU8reQhzGGtf4kvPf2wNiPCgeFVkhopGdVRXNmC1,0,9m9AfFEzFSirge589vsEnAztuEjWLBTyukqRqQwGxaFK,1,0,
2pngLT6YDApMFLV6uzhffDLR4aLJXTD3AenpkJNrrZZB,0,ChXtS7TQkmy4eFSCQmKQUs23wg2UMPTAbmFnWpr63V6,1,0,
2qxFHxLhBxaKPHCCnSYujHanvhW2tp3L6kiMVbecnqbf,1,8ZJR2Kv7ExohHowdt4B7RR7B7s3G98Wc4GRJMZZuNTPb,1,0,
2sGrkjfcp6VYBahpWLLM1Atq5j8cUffsbiGikShguygh,0,ChfhWQ4PTxEUvaV8eSUcteaU8DTetLyvHWRnuzcVjm8s,1,0,
2twniGDWiibKXDKeFUaeomAUXfcET9YdsRxst4XZf3E8,0,8888pJGiLZWngp1eesx89zz2GzEFYEvJyenMtznpFZGc,1,0,
2vCyYfX9FNiUXa4LkfmMiJjB3FJPirXroXZwyDVHaM4A,0,AupTbxArPau5H97izWurgska1hEvFNrYM1U8Yy9ijrWU,1,0,
2xWD61igWtcaGeq7AJ2qmmoQwX49e6XrKSZhNizXsmQh,1,2iNSGmyCoLESVAzXU7EiHbxtxDyEHcWUqAwYxRizBkkV,1,0,
2zcGjrs2eTw3rqpND9jaaXGcW45mTvbFLVWZSKu7Mz8K,0,3FBUsToukAY7Gs1hB9WCqaxXcYCxcPN191tiL5iNo9bH,2,1,1.0
323BzjV8QtikfoRSiftgXdnhGrEzWCh2Trtzgb1V4XQD,0,23Gt7KM1Ggnoq4EkQ2aYwfdJiBM4JSCmhzsYAVWwTfkX,1,0,
33WHCXsrofSQSfR7EuQ6Xb6ENnb4vNTdSCiKnyNm73UY,1,13GGZ4wo5FCgELRwggNHLCn63SPAdmU5NCXJ1BeMPdSU,1,0,
34xVTYiiLC9TiU37sVxKGiLN6gYgMX37BfUcA3GLZwSw,1,4wrQ9aUpQWXRcYC7BxHdBufK9ezuVXDSaG8EJ6RAUbjx,2,1,1.0
36XgBJVR9UK4CLmn3YhdE7mEsyMLS97t7Ca1rKjVkHNd,1,CbLWrWzc8qHQeekTkAJZZ3MbuQiNwANxCbrVT4dZxrd9,1,0,
382stwqaL4TztEZpu8pYa97xkMECtdy8DW3qBn5wAo4W,0,8qZmkXnDPpPexPXGEB2MVPYCfvG4NpKCP7KmEtf4yaE,1,0,
39rJmwtGGuvEHWSjFdxiH5uSDsDz3YAX6vvuQLqwpump,1,GRgzmtqp2ac5uECpBG8RATGj39TkEgqGab7yjPC3CeDb,1,0,
3B5zMda3mNv8zDHayfZiyRgF7NBzVgVSKgrAiQgz1AZC,0,6SdVH6NqzFpsjhrPKP6kH9yesaERoqm5FX6ifHaibVdA,1,0,
3DGyKoxZj9zqrSLPhoZ9pR5yxxdwtpvctKAQvcTkY9Dn,1,2qEj2UQpAT8xH8mUKxhwSFa2QZSDbuEhEWnzeuJdDk8a,1,0,
3ER4YD8xEBCHqQKTLprVqK4Giu7uhbiiHQhd6oXcnPMb,0,3qEuJjT2tdWrBAYLkACuxpeBbzT7DU2XnTEBk6VfY4Mg,1,0,
3GEznP41VaAGv9yRdBiuYdA8zkffNc8b7DzNJgFbH4Kh,0,j1oAbxxiDUWvoHxEDhWE7THLjEkDQW2cSHYn2vttxTF,2,1,1.0
3HMJeaQfbQGNX7E5zBqiyFmSGrFU4zJbRZawXHicqAT4,1,BM68EYF9YwpfsdqBY492FDSzkmgg7tYV35ifjTCixrR,1,0,
3JtfvzFVzkPh1we7DPDGW5xPsrPB5nX5dbAVgTeVpump,0,ZarexyHVb3CsGYNXDU5JgHgifCPUDUgEJAg7Dpmqs1e,1,0,
3MNdg52oAdyEQ3Frixp7325MSXgiNL6KJPKMmB7PUwyh,0,GYMFcQ4bHnWML6ZMoP1WoUo5Y8c76nrSxun1xcZDybKU,1,0,
3P29e9LSkhKgmkgaYnN9vrZD29WA5318V4sFifw8ZwBN,1,3amfzoKiXF7HfogRETSb7fZ7UdBY1cJuExh2y36p7RjC,1,0,
3Qsv55356w26zJuTsEouvAkycZkoHp3UGEqYkapG1Lvh,1,76qo4SLZo3sSfJHpGjKQQ9wjJxeeZFi9o4gXBzLcVPME,1,0,
3St4gUoHFniBtM788xLAGdCgesQdRs8mgTFr5smHqQAG,1,9h1yccpQuhhxpVMFF3T5MQ57RU2mnQpqxNKbuT8F6zNE,1,0,
3TWgDvYBL2YPET2LxnWAwsMeoA8aL4DutNuwat2pKCjC,0,GxTsbBHT6zyzUA4kbcnjPe9r3RqVVjPSMwoDYRK4RDfL,1,0,
3VNGFNXqN5ZgqoBBc7pG8ByagRhyjVaF5kKC45hK7jEp,0,DGE1XE154o4zEmfEu3XcbVvjY4B51vZT1A4vs8fZWcah,1,0,
3Wiz3kY61CsSd7F4wZJwwAcaxK9Jc3swED38fqUD98Cy,1,7C87v6ZWiBKnB9hZSKUPnuF5qebSWk6bNnWqKG6P8jcy,1,0,
3Y4tr5dJV7YJYMNMwETkMgndvqhDVoBSfVEBGrzg3R64,1,HcdTo3ZHCCKDEP6LBNDtZtQrUyCYUH78UXJfG62HeBdk,1,0,
3ZkzcYco6K7joBLRgZYG1fCHkzdk3tk41V7q135zjwfE,0,FdvM1aYLAjUkYBSBjbKA51mK37eeXSQCUvrYHk3FVxLc,1,0,
3b3C8EbKQ4TJBC1NTWD4rk8QS1GY8yjAYXhqwyy4q24i,1,GuBiPofnY8A6A2UTVwFNZSnTpRzLZeFaE5Pb64afQaQp,1,0,
3chDEeS9sFbvo5nyjCqA63euFQ6LbPD1cAUyy7FVm9Kq,0,CCxFKRtfTE1QXuGbJTNy8PX6jmzCMGpFaVyRxoDGTJgu,1,0,
3eXMBj67QHveiFvhjfPX4Ap22Qfi7SaWA83LP8LAfxF7,1,2Jh1qZ198umZT5cputH7qhAe8FxtFzYpxeQwD9r9jWzj,1,0,
3ffwRBmWTyyiyrEitcRoNVfJDbU8ELrJmY1UK3q7U9vH,1,F8LGtZJZrUpTLCuA91mQffA3JhVLa4m3w1131fgR4Fbg,1,0,
3h9PpY8dTGFesZ4mGSMfZXqhhHtV9Dg1RGUWs6QSJiZD,0,8d4wMRNPL1XKyqbH49tsreT1swwpo2tzFW2PeoTqnDTo,1,0,
3ic6DyWCE6fB6JXczFEeKgwP4P1BhtK5FS1wP9qhLraB,1,Bq7iAwPJiJbArnVfVJzUvnvSaBL8UXpRpr8DcPpkCnPm,1,0,
3jmhYWdoRcua8yUP3HVDNihZhHbhrBTUeXo5W1etHTFf,1,FTHvTTNygjS2cngwNgv5gfokeVRGfHsuTJHbZAVadXyR,1,0,
3mHtNPRg9pR9im793Hpk2icGTYTEUUzysbsM4GMstjHy,0,2V4V11byN2AjEVyyizAannQCv96DN8AgDYbPtxkvoKMQ,1,0,
3nqjGroZGXUr4FFe1jg22QL7a8YUkgGRPT87uJKzTBXE,1,4mLCZZU714fJrYfSNwcgXwaDdkEn7Tf1Yh7RESEaKTsr,1,0,
3pNKZuzJmDA2svkWrab6WjzWV1U7N6g7r2fyr2U9KQC9,0,D8qrVVFBF9oXxKkbVYmudXYMoFTsMmvFnKK7hdJUod5M,1,0,
3qoTtADADXdUAVf8W83jeM3KVThtv29WKcWED3sx132H,0,ELx7oeNH1WLTGouWVt69f9q9XyNenmrL1geP74Rbb4bi,1,0,
3spukw2M4AeJrdNXN2GRrSjsZhmziqTPVcWynCnDpueH,1,GM6mCzbaX8un9RGX2tJMezkQMpbgvD8px7zjkw6gswZy,1,0,
3u8ACDXx65kNcoT17T7C2bUqCKGUGbFVAmi1FdBNcSK6,0,AK6J2ZiYogg9mvos1mMTAZzdzWRnvrA3whDLwVa7aC4M,3,2,1.0
3vkhGiDaZrb2rzTtEa4zP7e61DVMTcD5RJZEv4iKRDvd,0,GPzpcVfS4JECS8FUhYXTz5x18dZdtbkGoc8ZGDcSAYs7,1,0,
3xQ3h9pAFWYnkyUp8hfuQPnQCoBtNiLxDM8FxJoeVbrB,0,DwP7qndgqqTmsecLeUnVKTmMShQP4mZR91RXrxYEneRA,1,0,
3yoQX9Bmh7SHgttGX6ssgd9CkfZa4KsSEJVrDdBXVjaV,1,4ALGC112XpY6CTkNUe1Q1tGprPQehDgUGh3J82fwvYTX,2,1,1.0
41RSME2MQiBRNhSqzEnAPSbm9nr3FNvk84j89VQ8prgC,0,GjShuLZe2JwzGSyNGTc6qHMSpRyB8DchxAbs3YW5jEKi,1,0,
42o42KH1dzEDjqijWpWHcNtpmW42Hxzg7YbMs1h6A5r1,0,2Uzw4umHGEEJNc9jM9QMyaYb3wZ9r66hgpVPcN8AH3kM,1,0,
4434id3rdxdEur1EP4jo4yM6udQYF2JWmxKN2U8X9rQZ,1,CbDX8xREGodsvptx68ZBp8HNL931RZsaSSMgxSHZmUHR,1,0,
45QasSARsH1hYhm37ryQKoxxUUdDRAvZaehiKS34pump,0,AnhJs2hxJv3q6dmRDEM5ieDuXwMxinUpkDQDD3UukWQr,1,0,
46mhuSE3MNXRUs9DqWPKXYEUxRfmk93ptxDtP69rY57d,1,CaiiZsc3aoVACfjPBsinqq84TWH5jzmEeJois8syEcRr,1,0,
48dwxqC6mod14WFKVPHt7FV7ccuAsKMikJtAHsqhpo8Z,0,8qii5y7Goxr5w5V87iRKVbRDMC6XgeGgRH33TGiGMhEL,1,0,
4A5sRvZeu2iFhwkEnF4d5CdxkGg7bUxk5wZ8bEhXL2jp,0,CXuZN7XoTLZPv7mNRk6dHWc58PKZATgJVcJynZj9fwad,1,0,
4BXJmKKLqM51eLqVTWNXx3LzKrzdJGKjw8phtaGUGp7e,1,A3srBd7XEs6QN89yayny7Fhov3oZjnhKwjJcRag8CxHa,16,15,1.0
4DKzWpYPPBhSa4yCEkX66qYJ6XtXHSmGdw4MzwXVU3T2,0,7fcPCcbeR9kGnwkZXxGkYrceruS666PruaACzcBfH9gb,1,0,
4F6Nq9nthRNRZFWNTki971coTRVXSrSJGaYbdnHnssnZ,1,2V1kbx6ajqMTbVgkMM3kXunXYZgqksJt2Nik5Z5tCrmb,1,0,
4GBDvRCLYgU247tzBY9sFGdCZAxgdEuSANrkp7BLtmRL,0,8kJ2GBmZUdiVdbc4CswRnHYymW9dBYXPFhSgYDSvsNvq,1,0,
4HqgNkg8V532ZRkQcRnNoTL2NK8o62Hyho4oU5Lf2kuc,0,BXn1NMZxRheYdaRvVQJYUyoLz4qDUzFF3ZNhPAGqT5kH,1,0,
4KQLgUkFyTjjB7Rpq7T7u6X2cLo2Jfp5TbwfeW7yMJwu,1,7Yos9hfNLWcVmtkx2XiM8pSe5eBRpm7eEWB7erBWNzvm,1,0,
4LmvdjiWHfumC3Q2xGUVco7XWSyaNYPgsZDNKzCTpump,0,CzJ7S8UJRPXGfETSF4RcgVbn9RtTJvPDpEzvJpVfw9Xb,1,0,
4MWtPDw4pGmaJMvG4wVUbTXUU7NsdnQyuhVXyeuNRtzs,1,3MimZpfTk1JSyLQcxfgfJ5Z4gGte28xUAJx43rS8ijLz,1,0,
4NxnhKViNC3wJEdkWr4venJykFErjjUimbkEKCRopump,0,HF2yMrqMcuvETxixbrxy8Yhz1YfWfDzZmgqdvG3zyf19,1,0,
4QEMf7ZbZoXVk2DPSwZUkcxXazPL3qccfovxv6A1GfqP,0,xSphcrX3yM3U4fSWJ4j5fhmAN6A7C7woC7TXv9VgVc4,1,0,
4S9LSJX35A7rKDntgBup3vjYkiaVUKWa3PRDJm92pump,0,FreyaXYaCwVy86BdNECd7BXnqEvFUbt3p6d2B5eS5zDv,2,1,1.0
