mint,label,status,top1_pct,top5_pct,top10_pct,top20_pct,hhi,n_holders,mint_auth_live,freeze_auth_live,is_token2022,risky_ext,decimals
123yP1S39uv8EdfA3oJMRw4X7QNhPbsfPQC2DwJxLqbi,1,ok,99.995,100.0,100.0,100.0,0.99989,9,0,1,0,0,7
11UWkTuhDK4wkzJzpYu7WnztNcwocNVZFPxVyhEpump,0,ok,86.518,95.582,97.776,99.308,0.75156,20,0,0,0,0,6
12fhde7Sur7DBXwCjKRbfR9H3fAsc1MKHMdqaEnqa1kf,1,ok,19.75,42.439,47.73,55.334,0.05731,20,0,0,0,0,7
12Xzs3mXthpCZHc5wd6KN8aFBAbrzN2jZuCPMq2mi77B,0,ok,41.097,87.452,90.1,92.689,0.32002,20,0,0,0,0,6
13ZJyctFnbGcPeqtPujZ8BEQq6yKZ4h2KWS6eauD29h4,1,ok,99.69,100.0,100.0,100.0,0.99381,20,0,0,0,0,8
13mDz2buSTfEeum6XhTCBCx2aToq84XZQbL631N4FS5f,0,ok,26.48,36.808,44.066,56.849,0.0764,20,1,0,0,0,6
14WgmYoWB3ord3kNKfqozb8RjyuYtaE26BRF7Zcss6uk,1,ok,97.475,100.0,100.0,100.0,0.95077,5,1,1,0,0,6
14pFLh6Cqcp4mkU8YmZvRas7JF5khDJfuTKdcMvJXT4d,0,ok,73.434,99.286,99.989,100.0,0.58411,20,1,0,0,0,9
1SSBwC8hxB4GXzKKU4ENNpST7zgpTmucDe9NoAopWXX,1,ok,26.865,66.067,92.122,99.743,0.13653,20,0,0,0,0,9
1jcCHdraURCKJZkNAPgKFqQAiJzssCzEiXjzoMkxLBo,0,ok,33.147,85.526,95.218,100.0,0.19046,20,0,0,0,0,9
218zQjzBFXQ4HovbrhtMMUK8BwBXWTVN16y4LkFiW5ht,1,ok,99.916,100.0,100.0,100.0,0.99831,15,0,0,0,0,6
2228n1BPZuuEdtm36mie5DtftZoqVGKXDKnqzG58pump,0,ok,98.736,99.396,99.604,99.801,0.97489,20,0,0,0,0,6
223rLjkQ2Z985NrXJmFYtw7FEdNwsbqPHTLMEZodhsNF,1,ok,90.101,100.0,100.0,100.0,0.82162,15,1,1,0,0,6
22yDK1KQMmWh5mU5JD9XiFMKBnpt1DVoWfPYcDs8dd3f,0,ok,90.442,93.039,94.256,96.002,0.81823,20,0,0,0,0,6
23GVdLP8KxpKSUUR6BVz9cptUYYn6rgSwTiAjckJuMbF,1,ok,68.733,99.989,100.0,100.0,0.5304,10,0,0,0,0,6
24a1k6wSDQUSwoRXJyvkr25kF5do8f6Ddff6A2fTc1pM,0,ok,93.734,96.775,97.847,98.978,0.8789,20,0,0,0,0,9
24LZN9xZDuykKD5PdLYKiecSyAVX4UUQQunBsoBa5Qyd,1,ok,28.905,88.551,100.0,100.0,0.19632,20,1,1,0,0,6
25f4SEFpExeZTmorMvDi7zWAx9h2zxM7Q7SgkSra9mYz,0,ok,60.07,71.481,80.207,90.959,0.36688,20,0,0,0,0,6
256WDysVG4P6GYUqDDnoLdyEGrzqim1B4Py5Uaof8Ms1,1,ok,57.511,82.404,93.91,99.908,0.35314,20,0,0,0,0,9
26MhAs1izhQDbTZTKLCd38SPB5KUdY1HgTuwFdyBpump,0,ok,97.789,98.967,99.402,99.76,0.95634,20,0,0,0,0,6
25yPcyqSpSv8T2JWyoKKRiU622Sr7LoMk9S3FmuBFt8S,1,ok,81.732,92.422,96.874,98.372,0.67163,20,1,0,0,0,2
275gHC7WqaeccZSHJ86mjPYzrKzmTVTXjWeHgttjpump,0,ok,91.606,93.427,94.302,95.302,0.83929,20,0,0,0,0,6
277weWTiKSc3uRk1B4zMqiib2AXnuisUDFCXVWXUC6a7,1,ok,71.335,100.0,100.0,100.0,0.55072,11,0,0,0,0,6
289W7Wmn7Sv96jDNjFcyh42WuV55MdqEsmQ2By5Qpump,0,ok,98.32,99.258,99.643,99.916,0.96671,20,0,0,0,0,6
28ER9oWz6w8bweHxAwhm1mio4m6z34L5pbtK9WTcBxmm,1,ok,72.277,94.286,99.78,99.988,0.53678,20,1,1,0,0,6
28wq1Tt6Xtzh9HJ1q4pWLHJnge2aNfsw5c81PinN9b5C,0,ok,83.608,87.943,91.177,94.016,0.69982,20,0,0,0,0,6
29Fy8aZ9fk4aJT599wdus2rcQhs5L4sFoGLrpHNsrgxJ,1,ok,86.372,94.442,97.058,98.351,0.74816,20,0,0,0,0,9
29bPiMik3DsmaCgSDstHusWtvkMttuZABgqGZS9Epump,0,ok,96.933,98.994,99.413,99.789,0.93975,20,0,0,0,0,6
2ADp9RV8wqEgQTzZ6CjbCAAA4MpvyioCzVJ3jBhCpump,1,ok,92.581,99.183,99.788,99.998,0.85884,20,0,1,0,0,6
2B4dZwaNRdRkkDoAA1mJd5cvTFrP2VnqcwvGfoLVpump,0,ok,94.841,96.872,97.76,98.62,0.89963,20,0,0,0,0,6
2BEdvDmMvkzzBGSXpJkinq37X2fUkKbyKuowq6XAGt27,1,ok,90.949,98.539,98.857,99.063,0.83177,20,0,0,0,0,8
2Bu9X3qVimc7LGBnc1bZQkLtXWFgnPdTdu79fqqdu5V4,0,ok,90.429,93.384,94.702,96.232,0.81806,20,0,0,0,0,9
2D1uvMNh5FgjDyuTvhfwdD9ALZPoDNBqzr9f6k8sFhAx,1,ok,42.057,97.559,100.0,100.0,0.32098,20,1,0,0,0,9
2DZGTcRTe43xmmXqTDNCWELkG3AYSq6QZyhiAv2F9yNq,0,ok,85.126,95.297,96.368,97.447,0.7305,20,0,0,0,0,6
2DwDk3zYpPTGLJh1orywMS2MirpDrHj7GeHQP8Cj4LrK,1,ok,72.31,85.611,90.191,94.585,0.52954,20,0,0,0,0,9
2Eb2d8QA2z1YQG7JGPxfwr7Si3HxmFTGxihDkCTyzbSo,0,ok,65.251,84.517,85.728,86.654,0.45505,20,0,0,0,0,6
2FLDXgNLwffZgMGvPBLc4ABS2Z3MhWXK4EjnvUGW6sZi,1,ok,93.96,98.406,99.473,99.87,0.88346,20,0,0,0,0,9
2FTwT1MYmAeUhCZaVkxBVcqBL86K8Hgdx7NAmM99eUow,0,ok,77.477,88.728,93.109,97.397,0.60539,20,0,0,0,0,9
2GTEst8DRuE4Zb8rF7zvLznJz95MAucQ1eUngXgDGiwK,1,ok,85.083,93.077,95.533,97.638,0.72615,20,0,0,0,0,9
2GMEDWxPhdBicySMjUky49UHgXutxQ8SJjWyrcKPpump,0,ok,66.967,73.949,78.154,84.391,0.45058,20,0,0,0,0,6
2HgTaR757aYPj1gbYykZpEPdhjHVu1fisdFBiLsXswAf,1,ok,32.122,84.334,93.979,99.544,0.17952,20,1,1,0,0,6
2HKQa8VwWK8C6VnJeUp4GePY3YgtXCbRxNZnuFtnLnJ6,0,ok,98.818,99.974,100.0,100.0,0.9766,20,0,0,0,0,9
2JtKb28ZZ747q6vuEurcRCuCkSiAa6iMJVTzdGT7PCCF,1,ok,68.688,100.0,100.0,100.0,0.56985,14,0,0,0,0,9
2J5uSgqgarWoh7QDBmHSDA3d7UbfBKDZsdy1ypTSpump,0,ok,84.79,90.797,92.331,93.732,0.72039,20,0,0,0,0,6
2KpNqQneeCxKxj7JeKWfvLYX3KP1CMu3TZfeapddYwtU,1,ok,99.702,99.877,99.931,99.977,0.99405,20,0,1,0,0,6
