mint,label,pool,reached_start,total_tx_seen,lifetime_h,first_gap_s,n_tx_10m,n_slots_10m,max_per_slot_10m,err_rate_10m,active_min_10m,n_tx_1h,n_slots_1h,max_per_slot_1h,err_rate_1h,active_min_1h,n_tx_6h,n_slots_6h,max_per_slot_6h,err_rate_6h,active_min_6h,n_tx_24h,n_slots_24h,max_per_slot_24h,err_rate_24h,active_min_24h
123yP1S39uv8EdfA3oJMRw4X7QNhPbsfPQC2DwJxLqbi,1,CcHZi5SbEuyHAZqLeMitkRGRYdRb3wU5wzeJx3dE4ZU7,1,84,14887.959,39,13,13,1,0.0,8,21,21,1,0.0,13,34,34,1,0.0,22,34,34,1,0.0,22
11UWkTuhDK4wkzJzpYu7WnztNcwocNVZFPxVyhEpump,0,EaYz5x7wbAtt1RWV4YX4oUTu6YVeSgx8jff9BdSaW1z1,1,729,14216.433,63,4,4,1,0.0,3,77,48,11,0.8312,15,537,271,11,0.8696,58,720,394,11,0.8306,104
12fhde7Sur7DBXwCjKRbfR9H3fAsc1MKHMdqaEnqa1kf,1,7m8ud24nECVthr7xSHNsWAh1e8P11gCCb6U7JaS6Kyhp,0,15000,,,,,,,,,,,,,,,,,,,,,,
12Xzs3mXthpCZHc5wd6KN8aFBAbrzN2jZuCPMq2mi77B,0,2vHPjydfmyXXN1yDGn1BrvyKk9rpduxQq8PTZb1NEhka,0,15000,,,,,,,,,,,,,,,,,,,,,,
13ZJyctFnbGcPeqtPujZ8BEQq6yKZ4h2KWS6eauD29h4,1,FU1wPqzJprqpMBhRMbEMeaKmxBGmMuYUz2nYwVQeagHe,1,1126,24533.11,1,24,4,14,0.9583,3,24,4,14,0.9583,3,1074,777,65,0.4413,164,1100,803,65,0.4345,189
13mDz2buSTfEeum6XhTCBCx2aToq84XZQbL631N4FS5f,0,9s41RoZSthXGMkvjpGcoH7JNk9sHAwsHbPEK4f11rejE,1,12814,20436.369,0,1117,552,13,0.6168,11,4089,2725,13,0.2563,61,12478,8909,13,0.1948,230,12599,9018,13,0.1937,304
14WgmYoWB3ord3kNKfqozb8RjyuYtaE26BRF7Zcss6uk,1,6b4tMNFpS66QJHprAznZq3KWy69ytzE4i7jkvdVccsSu,1,16,15693.968,104,5,5,1,0.0,4,8,8,1,0.0,7,8,8,1,0.0,7,8,8,1,0.0,7
14pFLh6Cqcp4mkU8YmZvRas7JF5khDJfuTKdcMvJXT4d,0,G5uvRzdEUGMKZiQpkGeAGaABnvHXxstUYZSnRABoncwy,1,626,8131.748,4,4,4,1,0.75,2,602,238,18,0.5515,16,613,243,18,0.5579,18,619,248,18,0.559,22
1SSBwC8hxB4GXzKKU4ENNpST7zgpTmucDe9NoAopWXX,1,66ruKUbWdJyZwBgDMkjeoBYCjY9yfkibbXaTGwbENHsS,1,1415,31799.542,3,10,8,3,0.9,2,13,11,3,0.6923,5,435,424,3,0.5379,149,731,719,3,0.4186,339
1jcCHdraURCKJZkNAPgKFqQAiJzssCzEiXjzoMkxLBo,0,ATBJRJKRb2scNtxiW7BwPkGSkSep6A37mxigUNXcP6iu,1,383,8762.792,1015,1,1,1,0.0,1,348,194,26,0.408,30,365,206,26,0.4082,39,366,207,26,0.4071,40
218zQjzBFXQ4HovbrhtMMUK8BwBXWTVN16y4LkFiW5ht,1,BraUd6jafjZaeQ1QZkgKSqHQiu5s2S93jbSMX51iYvYu,1,35,15750.68,38,4,4,1,0.0,3,19,18,2,0.0,15,29,28,2,0.0,24,29,28,2,0.0,24
2228n1BPZuuEdtm36mie5DtftZoqVGKXDKnqzG58pump,0,6LWFeP7GXRt2DmCX7Kto25h44BXU3VH3RZkkz61iNAzA,1,24,13846.871,60,8,8,1,0.375,4,18,17,2,0.5,6,18,17,2,0.5,6,18,17,2,0.5,6
223rLjkQ2Z985NrXJmFYtw7FEdNwsbqPHTLMEZodhsNF,1,Acic56bE7B2w423jdm1823ixmUUucWdf8534Dzq8MxgX,1,13,14541.037,93,4,4,1,0.0,4,4,4,1,0.0,4,6,6,1,0.0,6,6,6,1,0.0,6
22yDK1KQMmWh5mU5JD9XiFMKBnpt1DVoWfPYcDs8dd3f,0,HPvMv19KUbr3pGa4vJCS89gEnvaS1DYfScWkhVEYE8oQ,1,55,16953.269,103,12,9,3,0.5833,3,29,26,3,0.3793,15,45,37,5,0.4667,21,47,39,5,0.4468,23
23GVdLP8KxpKSUUR6BVz9cptUYYn6rgSwTiAjckJuMbF,1,3YQ8JzQSGe8ciZB7QY3apT8MArBrif7GEtrZXiXcLJba,1,4635,5743.717,3,3162,468,311,0.895,11,4118,1143,311,0.8339,40,4500,1189,311,0.8407,47,4501,1190,311,0.8405,48
24a1k6wSDQUSwoRXJyvkr25kF5do8f6Ddff6A2fTc1pM,0,FcJni2ZpCGTWX8qkQkUXfkN5HzqFyGYJg7SLRSne7dzJ,1,1376,23502.335,303,3,3,1,0.0,2,3,3,1,0.0,2,3,3,1,0.0,2,3,3,1,0.0,2
24LZN9xZDuykKD5PdLYKiecSyAVX4UUQQunBsoBa5Qyd,1,4tGMDkj3zXv5LVN17ZAfRQMCjYmLBepGVUnn8YYw2H5y,0,15000,,,,,,,,,,,,,,,,,,,,,,
