address,report_count,categories,trusted_any,first_reported,last_reported
13R6kExQpmsZUK259gW643WaJLpeUoNvaGpRaepE3zp,1,OTHER,True,2022-07-31,2022-07-31
2HfbKHDxiRx9rqZ8Db2eyRLnPR92jVHQWvzF6hQFiDrQ,1,OTHER_BLACKMAIL,True,2022-07-18,2022-07-18
2TAXT6SaR51tiGYfYcYUvKy98RyqE4JVJvpfaLnHKb1e,1,OTHER,True,2022-07-31,2022-07-31
2ipkx6iYkkn63SQAbyodAeYuHqJpCEwFgTVH2txB3sYD,1,OTHER_BLACKMAIL,True,2022-06-28,2022-06-28
2nr1bHFT86W9tGnyvmYW4vcHKsQB3sVQfnddasz4kExM,1,AIRDROP,True,2022-04-16,2022-04-16
2pEhng25jLz9xMhY3jEBhNRjL9SuzZZFR3pYkox3523g,1,OTHER_BLACKMAIL,True,2022-04-16,2022-04-16
31qdjWfYL5wVZeXJtVew469enXmJkGQKjZy7PkFK4cKi,1,PHISHING,True,2022-05-15,2022-05-15
3HRtvzbG2utgLo4S8YVsBdgzzVAtvucKPUREA8uaV2br,1,OTHER,True,2022-07-31,2022-07-31
3HZmQ7TVkhcuPu5jb349LARJYP8LMVC7U31qsCuYCkso,4,OTHER_BLACKMAIL|PHISHING,True,2022-08-05,2023-10-08
3JHZn9YjHRAW8R5eoyUVbykyCrrKRyymFH25gh4G58br,1,AIRDROP,True,2022-04-16,2022-04-16
3TDTq6rwu4ngasi5DnpkKYnDSyrDAemKyuN5j9YuzAJj,2,AIRDROP,True,2022-04-16,2022-04-16
3ahu35qr3BgxbuFpx7jWezFFWewfyMa5VWoGLTrkTYgb,1,OTHER_BLACKMAIL,True,2022-07-18,2022-07-18
