address,chain,category,source,label,detail,ref_date
125W5ek3DT6Zqy5S2iPt4FHQdNMCbZA3FU,BTC,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
12jVCWW1ZhTLA5yVnroEJswqKwsfiZKsax,BTC,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
12w6v1qAaBc4W8h8C2Cu5SKFaKDSv3erUW,BTC,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
12YCfVAEzkEZXBYhUTyJJaRkgMXiFxJgcu,BTC,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
14rjAD8ZP5xaL571cMRE98qgxxbg1S8mAN,BTC,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
15kZobLkD6HZgEECtz4oS2Vz21XHTnNfSg,BTC,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
15qyVrZvvVGvB7GWiAZ82TNcZ6QWMKu3kx,BTC,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
16ti2EXaae5izfkUZ1Zc59HMcsdnHpP5QJ,BTC,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
18aqbRhHupgvC9K8qEqD78phmTQQWs7B5d,BTC,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
18yWCu6agTxYqAerMxiz9sgHrK3ViezzGa,BTC,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
1986rYHckYbJpGQJy6ornuMyD2N5MTqwDt,BTC,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
1CPJak9ZyddbawMGJPyEhCiJLXXb4sYv8N,BTC,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
1DJoVLgn1foJHHngduRPJvRbwpaFEKxvxd,BTC,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
1J378PbmTKn2sEw6NBrSWVfjZLBZW3DZem,BTC,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
1Kc6egXevyLEaeTxLFA1Zyw7GuhCN8jQtt,BTC,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
1MkCnCa9agS5t6V1B15bzusBgYECB4LfWp,BTC,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
1NuBZQXJPyYQGfoBib8wWBDpZmbtkJa5Ba,BTC,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
0x08723392Ed15743cc38513C4925f5e6be5c17243,ETH,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
0x098B716B8Aaf21512996dC57EB0615e2383E2f96,ETH,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
0x35fB6f6DB4fb05e6A4cE86f2C93691425626d4b1,ETH,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
0x3Cffd56B47B7b41c56258D9C7731ABaDc360E073,ETH,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
0x3e37627dEAA754090fBFbb8bd226c1CE66D255e9,ETH,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
0x4f47bc496083c727c5fbe3ce9cdf2b0f6496270c,ETH,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
0x53b6936513e738f44FB50d2b9476730C0Ab3Bfc1,ETH,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
0xa0e1c89Ef1a489c9C7dE96311eD5Ce5D32c20E4B,ETH,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
0xF7B31119c2682c88d88D455dBb9d5932c65Cf1bE,ETH,sanctions,jp_mof,Japan MoF,Japan,2026-08-26
