address,chain,category,source,label,detail,ref_date
9CT3MCJE91chZvDL4vhVHU4V2ZJHwRDopPPQKVSVD7Vz,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
Gge97pV5AqAwH4hEeJX3QzX1hXLWsvPkZaaZ4K1KYe2K,SOL,rugpull_dev_creator,rugcheck_creator,2_rug_tokens,via RugCheck (개인 배포자),
DGoBaBH1ctt5WTNGbyzWq5UAtvVAouxp7c3Rm9FKXSVd,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
2py83cwENfTW6c1NgVCha3vmed2zLe8Bz4Cq3QwJYNMc,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
4r2wzwuRgxCf8fNjgtRvoBJF6qM9fgSpZG2XkDgaAjeB,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
3uZ4x3a5t78BC2XjtCMSXv74sFwpdFM4NCXFTRxggkP1,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
EVeocMKsAar2AXtfyfpVSjvsMuopL7uih9YWtpTMLCjH,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
5cnbzt7Bjeo8TZteWLLT37zM3HVQNoyWstWhm36MyYDx,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
GfgoLq4rzWpE7LoEAAtHey1LorxcQiFPTdEBh9qYPsgs,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
ATR9UaJasUHH8GSQsCkNtsS9kY2tLLoHyLrEaNLyZ9n9,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
8wG6ddTDZ39f2QZP4NXwRmR895T6awuadJPmqdcVtPZz,SOL,rugpull_dev_creator,rugcheck_creator,6_rug_tokens,via RugCheck (개인 배포자),
N9SyhAXDckG4y2B911paJPpwS7cvxWSxcng53mebXGf,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
4ktDQPHuw5K9cpwYaXZ88jcBb3fdvNyeh1ysDz3nr88J,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
D6KgVor1xH1eYAbcsfku1M73fYnJAsqpouPJW6r8tgzU,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
EweEZoENzK1k9D23ETjPctxfCZQnsiRetcyca63FKMKP,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
BuBMjNCr1UBpnPfywwAYcrjpSySzPDtGU5cNav2Y7SWU,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
EiVtPxXCNdWUCHR1WnLNFqbykpY13orPW2mDQDSVKgvt,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
52mXWzgdyhTYx5nBPxZEDCUn8RP6oPszZNrtBRiYAsJs,SOL,rugpull_dev_creator,rugcheck_creator,65_rug_tokens,via RugCheck (개인 배포자),
493fWZn7g1Yb8GVfUA6EyUNnmbfTCPavL7EpTabm4hpt,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
2CKzD7LLjGrUsYzRQfisrQBpRUujdEM5U11aWZvNkP3z,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
J1qtAKnNEFfpxmqXf4VNmQiu5hpK5u8usHukdxJjdhMH,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
FcSDuw1CTCSvzLo5p78upkgWfvDEqPDN9ZAEV8j9iNWA,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
DvcLzKeqpeDahQEq2Pd4qoTJpRcemJWmipCBWTDPci2A,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
CMHGzP2Z46D5ibXKzPUwJX2GU4juzdFoSTX1kqT1Gctz,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
8gM4gnxdLdkvifM9TCwkGAxrnNw4NiSiHbAdE1RqY96e,SOL,rugpull_dev_creator,rugcheck_creator,38_rug_tokens,via RugCheck (개인 배포자),
FfiDvi6xven5ytstnZLqtU17tLqQpk22B9rxhA2cuybX,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
G23PW9vHVtrL1geQvw8QHaWJ6wyW2madPKw6mprhiwVG,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
CVzBmYdkH31QvmxQwGExRqNqKGHY4Z6yxVmDDbfzKrWu,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
v66FxHrmAtEmuTaPTEUUEWeASh8ZMZ6SDokPfUyQaJb,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
HuDyQkZiSht458vQbdX9vdJG3u4QYnDExoKqnSwJE4Yv,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
DecwyL48aszMtV5DsPjLySxiGM3M6LVWqviHdmeUCmo5,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
BRkggr1zavi3x8XPwZnayB6fveEVsS9BZfT6bWRWaj8u,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
5tuec4FJnQQcQYdLh7pAkwVYEhuBD4smFnvoJtR75y9R,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
J4FRVcuzNMqGAv3MgvcndAaBwksqMUYv6TYJLjf1KyJ2,SOL,rugpull_dev_creator,rugcheck_creator,2_rug_tokens,via RugCheck (개인 배포자),
Cwb4Fp7UgLwdr4VrwSKP8nZw4Cor4qFUz3E6DrbUqt8i,SOL,rugpull_dev_creator,rugcheck_creator,3_rug_tokens,via RugCheck (개인 배포자),
5YX9mL8iuQgUFQh93LemdwGupimcbp5Yc2GbmVhXQ81D,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
B4XnvaPovToT8tgSSasXmspCxoCJXqmjuSDUJfHMbD2j,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
DbcPo6aUZioHXSNMo3YQ5AhpJeLdxZpRttoNJGCgwzbG,SOL,rugpull_dev_creator,rugcheck_creator,1_rug_tokens,via RugCheck (개인 배포자),
BMivqhFYUedFeaDtuV3iefhNdcGbvEDAE1PXQqiBhqK8,SOL,rugpull_dev_creator,rugcheck_creator,7_rug_tokens,via RugCheck (개인 배포자),
