mint,status,mint_auth_live,freeze_auth_live,top1_pct,top10_pct,total_holders,lp_providers,liquidity_usd,creator_tokens,insiders_detected,launchpad,rugged,score,risks
FLrgwxXaX8q8ECF18weDf3PLAYorXST5orpY34d8jfbm,ok,0,0,47.6651,63.7457,14822,3,16183.07,,0,unknown,0,1,
AUwugnCh1tFc5scRHLNqnHjfcRbHRsq7yrKFUe7Ysmgs,ok,0,0,63.8385,84.4154,7484,4,5045.78,,0,unknown,0,407,Low Liquidity|Mutable metadata
GyuP7chtXSRB6erApifBxFvuTtz94x3zQo3JdWofBTgy,ok,0,0,12.6763,34.0689,2813,1,12940.68,,0,unknown,0,50101,Mint Authority still enabled|Mutable metadata
6iFUKWGDksVvmnSYJUGYnsu168xstni8xJkTF7QrpPAu,ok,0,0,47.3577,69.4299,12002,0,79623.83,,0,unknown,0,1,
BQ74oddoJCJKz9W4QaDzLFh1JvLbmXRCvdaC65P7anex,ok,0,0,69.9831,82.5033,5894,0,4688.95,,0,unknown,0,380,Low Liquidity
B4cYZYVYeHgLc3W1pCduCYkoS75G6roPaPdPoBCFweNJ,ok,0,0,63.9602,74.3739,11441,2,30850.99,,0,unknown,0,1,
GPyzPHuFFGvN4yWWixt6TYUtDG49gfMdFFi2iniTmCkh,ok,0,0,14.5667,33.477,37137,20,4074.43,,0,unknown,0,11880,Large Amount of LP Unlocked|Low Liquidity|Mutable metadata
2fUFhZyd47Mapv9wcfXh5gnQwFXtqcYu9xAN4THBpump,ok,0,0,17.7166,37.0597,89269,10,481838.58,,1,unknown,0,1,
HJ39rRZ6ys22KdB3USxDgNsL7RKiQmsC3yL8AS3Suuku,ok,0,0,18.5826,34.2159,25034,4,62640.0,,0,unknown,0,1,
7njsg9BA1xvXX9DNpe5fERHK4zb7MbCHKZ6zsx5k3adr,ok,0,0,24.9367,52.024,17791,14,11925.84,,0,unknown,0,1,
FbJpd8yhrGGkWVL1Ujf7qFvTw4uD4675k8CYk82LEKvZ,ok,0,0,54.0877,78.9231,12033,1,12587.73,,0,unknown,0,1,
32h846XXTSWGUaaKHMC5b2e39n1nwJD6UtDBppX5p4E9,ok,0,0,57.5138,74.716,17680,10,12865.62,,0,unknown,0,1,
SarosY6Vscao718M4A778z4CGtvcwcGef5M9MEH1LGL,ok,0,0,59.4724,85.8581,46073,0,244.27,,1,unknown,0,18878,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership|Mutable metadata
7ABhUfzLKT7acJ9rFRZJUBvcqYfCfHLakTvZM75kAVPS,ok,0,0,82.1684,94.227,3186,0,3324.6,,0,unknown,0,1541,Low Liquidity
6ep1sNB9UWni3nBZUX84USsRBhKRzMAxEmcia479cWTh,ok,1,0,75.6034,95.932,2771,0,0,,0,unknown,0,72313,Mint Authority still enabled|Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership|Missing file metadata|Mutable metadata
