mint,status,mint_auth_live,freeze_auth_live,top1_pct,top10_pct,total_holders,lp_providers,liquidity_usd,creator_tokens,insiders_detected,launchpad,rugged,score,risks
CKo735MqGw4xUNW49fWA8XFYm2wCYugfX1vXVtz6pump,ok,0,0,100.0,100.0,3,0,0,,0,unknown,0,24599,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
HqH81vJiUqsiYgLbu6t2MRwY1XJBVhNXy2kuBM2Epump,ok,0,0,96.3956,98.6883,1308,0,3930.1,,0,unknown,0,917,Low Liquidity
265sKc6C7wRcEkuLqzPCWUziHCqsp2Q1gXJo2H9Bpump,ok,0,0,80.8041,90.3803,2285,0,7998.09,,0,unknown,0,2001,Copycat token
8TzfHZa6ZnvvGsQfnFC5wGrCiqbN9nD2KMjyabfrpump,ok,0,0,23.8402,41.4111,7381,2,42612.41,,0,unknown,0,1,
GxsgmDngk3chXJqtbpXH2uHB6StjkvzfYvR6xHM5pump,ok,0,0,100.0,100.0,3,0,585.07,49,0,"{'name': 'Pump.Fun',",0,117601,Creator history of rugged toke
6iSnkYXL2WSevHcNd7Tkp2Rx9azRcrs1wtYjpgY1pump,ok,0,0,100,100,1,0,0,,0,unknown,0,24601,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
B2rZRPN6CdxsjK9ccLeDMvQjRYfVeuhAXBZL8YZ9pump,ok,0,0,100,100,3,0,0,,0,unknown,0,24601,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
FuKNjgFzVKp8foGPUzoQWgMPR2F9eVmG1tMfPqUPpump,ok,0,0,97.4718,99.346,630,0,4271.34,,0,unknown,0,892,Low Liquidity
Gf6NJxpMj4JMLJ5F62oF3ZRR2a7KHzRda3JZyqHVpump,ok,0,0,100,100,1,0,0,,0,unknown,0,24601,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
Hq84HoErNiqawqzKZ5W1PzmtxApJCdJnjp6599wGpump,ok,0,0,85.9373,96.0278,2218,0,6928.61,,0,unknown,0,270,Low Liquidity
NuPMmFznCkLBtcgwYDUzyFPPoVpchwTHmDnt9Urpump,ok,0,0,96.6075,99.8489,284,0,3322.47,,0,unknown,0,1224,Low Liquidity
87zEa4xdKjhs1oaA7inabHaX9QZEKu4LJmrofVCcpump,ok,0,0,100,100,2,0,0,,0,unknown,0,24601,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
2mysC3fDxCUG4T6gBBWn35a8VkykqY1A9Hj7fkiApump,ok,0,0,75.7127,91.7674,7077,0,10027.95,,0,unknown,0,1,
4vSyiUcyMtpgUuWoUaKoBTRQ2pcvgCYU38wS1iSGpump,ok,0,0,49.1874,99.9805,47,0,18316.91,,0,unknown,0,32087,Freeze Authority still enabled|Single holder ownership|Low Liquidity|High holder concentration
HwEhWyEpWvELT7H8apzCGyCPq6QtPMyxhNxB5Tgzpump,ok,0,0,73.8177,86.9731,5284,0,10267.1,,0,unknown,0,1,
8zrgJrFt6PW4QJSoHCFXn2uAMtWPNAGasSbGmNpXpump,ok,0,0,93.5184,98.0209,1335,0,6001.26,,0,unknown,0,306,Low Liquidity
5yrYbwRCQwgMRe9MF9uQrUtCEgCMZYNyMUHXTEiLpump,ok,0,0,84.011,98.809,169,0,5155.33,,0,unknown,0,971,Low Liquidity
8AKumw3aFE2p9aY4pe35dbiE3uQPBmV9vGKFaDp2pump,ok,0,0,100.0,100.0,3,0,811.46,49,0,"{'name': 'Pump.Fun',",0,117601,Creator history of rugged toke
87L6q4cArPNHFLsuzMD6J8j6jDVo2fcbdq8BD4yupump,ok,0,0,94.381,98.4778,1462,0,8460.73,,0,unknown,0,374,Low Liquidity
62GYxgZidEjndAeaUf8RKVjT7LJLs6T4k55TLc87pump,ok,0,0,96.9486,98.9395,735,0,3638.69,,0,unknown,0,1027,Low Liquidity
45mBwezkxNN7R5zQHwNmrbw5wu2UDMQ4rGM62G5tpump,ok,0,0,94.5404,98.1476,2019,0,8395.59,,0,unknown,0,379,Low Liquidity
6Q8uQDts1tfThPEdqQbJnoJvcfPnAXJzYhv1StgEpump,ok,0,0,100.0,100.0,15,0,5078.19,,0,"{'name': 'Pump.Fun',",0,1,
34zpktJQAxKhBYDVaibXoJFQe5PQrYBrYjobkp3fpump,ok,0,0,100.0,100.0,6,0,3391.77,,0,"{'name': 'Pump.Fun',",0,1,
6p7RxPh9drU9H3kBwcQKGeifMNW7DAkSoM8HxUdqpump,ok,0,0,75.3829,98.8993,472,0,4142.44,,0,unknown,0,602,Low Liquidity
4bqHju4gdAYukSYHZkNi5MNzneSqDkkonPRjNhLGpump,ok,0,0,99.2471,99.8632,402,0,3253.13,,0,unknown,0,1161,Low Liquidity
D9G1vBB5ip9uq3bxsQs1ikZNMj6HVahhfqhys3a7pump,ok,0,0,100,100,2,0,3887.22,,0,"{'name': 'Pump.Fun',",0,1,
d6a7tfqy5kR354WNYJUv1GNB8wDKn99GLz7tAu5pump,ok,0,0,97.6529,99.1669,790,0,4122.93,,0,unknown,0,965,Low Liquidity
AqZcyCfawEdcoTvZAyHYTyhRc9X5XtMwY8mtEnpXpump,ok,0,0,99.9999,100.0,9,0,0,,0,unknown,0,24600,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
qVvJe4H4tjhDZMrptRJ2xZmYGnGgaNJsuiXzwJbpump,ok,0,0,93.3467,99.7871,282,0,3396.82,,0,unknown,0,1033,Low Liquidity
J7pN6A1f4cFFXQkqDuEP5k1hds5ej1E3aMPt6NCWpump,ok,0,0,95.8915,98.6474,642,0,0.0,,0,unknown,0,14500,Large Amount of LP Unlocked|Low Liquidity|Low amount of LP Providers
6kAmPHzNYB2ufaAXbGDqZJ6apVZ19GkNwZt5uZzmpump,ok,0,0,89.9014,97.6305,1968,0,5099.43,,0,unknown,0,268,Low Liquidity
4Z21n55iUWJMAartHHGA3JDxSZ971vv6A78d3yphpump,ok,0,0,70.1009,93.1146,122,0,3509.57,,0,"{'name': 'Pump.Fun',",0,4111,Low Liquidity|Copycat token
CoydDvTvMnNeK4r4FqUCL1zjLHNY3YFNx5AQ3ny3pump,ok,0,0,95.6643,97.8306,4191,1,6058.96,,0,unknown,0,1,
7cLQdq8oQ9muPBdv5KysN4AJeHziyaKFVV6yVZwZpump,ok,0,0,100,100,1,0,0,,0,unknown,0,24601,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
6ckvVXDUfXRQ4btBfUqP1fdLLcynaTvf3mXxbLNmpump,ok,0,0,36.1936,100.0,75,0,1.23,,0,unknown,0,82118,Mint Authority still enabled|Freeze Authority still enabled|Low Liquidity|Single holder ownership|High holder concentration|Mutable metadata
DM2TN9JXWxKayGP2futiHK2Hvhm9BYeFGesi9uNhpump,ok,0,0,98.1642,99.8232,306,0,4429.89,,0,unknown,0,3107,Copycat token|Low Liquidity
81dYjhk2BqTGBhRD2jUQb3tFccAVnvfajNBVd4HHpump,ok,0,0,100,100,1,0,0,,0,unknown,0,24601,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
9iuze1ULYZhfVyBwuNu2B2opAWphD5XYsyrfWV5Gpump,ok,0,0,85.6487,93.0827,2049,0,5623.16,,0,unknown,0,1,
ByhSRkRyttcx3XAxRP6dvSEwP5tsjS7L1XApBi62pump,ok,0,0,100,100,2,0,0,,0,unknown,0,24601,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
