mint,status,mint_auth,freeze_auth,top1_pct,top10_pct,holders,lp_providers,lp_locked_pct,liquidity_usd,transfer_fee_pct,creator_rug_count,insiders,insider_pct,launchpad,rugged,score,top_risk
87VAKzvjPtiQ22Xj1J9xuqoA3jSKDogfgSSjmKrkpump,ok,0,0,87.92,95.58,2152,0,100,6501.5,0,,0,0.0,unknown,0,1,
DFy12AkbxKnR2s2gaYz1AvxgxqGDrMEjjzK1GG3Ypump,ok,0,0,58.332,72.74,6597,0,100,11658.5,0,,0,0.0,unknown,0,1,
8L7eHjzRJzoe3RKFLkDuW8y4gKVUXrZ8cZzk74S8pump,ok,0,0,90.337,96.86,1944,0,100,5184.19,0,,0,0.0,unknown,0,779,Low Liquidity
EC4t98EG3SxHwjdX2EbtBvDkeDvRiGQKgCsRLR7zpump,ok,0,0,88.468,94.2,3467,0,100,7648.38,0,,0,0.0,unknown,0,1,
D9wcFuQJ77VJFh6HuePLvHg8ZMPuvfAoYnXfp6TKpump,ok,0,0,100,100,4,0,0.0,0,0,,0,0.0,unknown,0,24601,Top 10 holders high ownership
CzFjtyyTucuL4ijGvNvwnd7svmJzQyxdkCxPYbKbpump,ok,0,0,82.775,95.98,1503,0,100,5975.34,0,,0,0.0,unknown,0,52,Low Liquidity
BbQbAoML7FJTyk45N9hXdp883NzB8WvHFCesEeAppump,ok,0,0,87.515,96.38,2297,0,100,6378.76,0,,0,0.0,unknown,0,145,Low Liquidity
BCzSJeyX2uVcDrTHzq49Do4vCyL4ZKM4DDo4VhVxpump,ok,0,0,77.839,93.14,5547,0,100,8295.77,0,,0,0.0,unknown,0,1,
GSFvzyczBmq56fHDue4hygBHckz7ooB5MRhtc8fApump,ok,0,0,96.708,99.38,580,0,100,5376.49,0,,0,0.0,unknown,0,1176,Low Liquidity
HkrHFHWToKa6e3ynMRB4YB5uPSnNESUMua2WRHMNpump,ok,0,0,94.208,98.97,847,0,100,4572.95,0,,0,0.0,unknown,0,989,Low Liquidity
HHxvrGFZb4MQvidAwV4fMqF2sBuND9xYx3ugGN5Gpump,ok,0,0,93.183,97.5,829,0,100,5303.93,0,,0,0.0,unknown,0,997,Low Liquidity
6gPyiXD1bDo8jze2BUX8giBLCjJgk2r3NwepnbFFpump,ok,0,0,95.057,99.54,517,0,100,5012.68,0,,0,0.0,unknown,0,1200,Low Liquidity
