address,exists,owner_prog,acct_type,mint_auth,freeze_auth,supply,decimals,token2022_ext
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1,SPL_TOKEN,mint,1,1,7574350037604070,6,
4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,1,SPL_TOKEN,mint,0,0,554997564137604,6,
So11111111111111111111111111111111111111112,1,SPL_TOKEN,mint,0,0,0,9,
2FPyTwcZLUg1MDrwsyoP4D6s1tM7hAkHYRjkNb5w6Pxk,1,SPL_TOKEN,mint,1,0,483499578260,6,
2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,1,SPL_TOKEN,mint,0,0,76722843420524212,6,
3FG9DAv3CDBEh1CQJhRM9BYe5thUMvP5GmW46524Qahv,1,SPL_TOKEN,mint,0,0,99813434393844476,9,
3mXx1bNiB5bhgwznk4eeqM9eoy6DU3CeCkm1LPabeoEh,1,SPL_TOKEN,mint,1,0,1919059207393377190,9,
3wRre6bqgqBFfNUbdTaUGQSJ4vWFnbwe6QiWJgqzHiu7,1,BPFLoaderUpg,program,0,0,,,
45HfvXJHY9msY2i4EmUpume1mSMLUvdaWsJRbctAobQM,1,SPL_TOKEN,mint,1,0,9392840702,0,
48k28C8nQAg4hwMu1PNVeMeoRUYdghCYHNyU2mZRpump,1,SPL_TOKEN,mint,0,0,998782130546422,6,
4bZvoQdQxhbHXwaoC4zFyyL5Yp5ngMkKAbrgpTWEjQBH,1,SPL_TOKEN,mint,1,0,33670,0,
57JAVLoynZJTzwJDuVgs8u8BWSQK6qosPyyuW9ZUEMh,1,SPL_TOKEN,mint,1,1,9996389,0,
5jx8wMxEpuyS8CSef7u6X9JAiV7hVPfphntxMrzMHsJi,1,SPL_TOKEN,mint,1,0,19560,0,
5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,1,METEORA_DLMM,,0,0,,,
5yxNbWboEaSqkLYngJ3wmfReJ4mvdeSKpabXfkx1KNEj,1,SPL_TOKEN,mint,1,0,6246356350043334704,2,
5zpq7DvB6UdFFvpmBPspGPNfUGoBRRCE2HHg5u3gxcsN,1,dRiftyHA39MW,,0,0,,,
6mo65QhKyKomsk4oKG7ecG6VyuJ1qMoKMLL7iQFToAoX,1,SPL_TOKEN,mint,0,0,997929209825813,6,
7f7dgNNeL1RwbEd6Eao5BE8KNurTnLZnRZeVjkCGJgQD,1,SPL_TOKEN,mint,0,0,755637546912032130,9,
7qbRF6YsyGuLUVs6Y1q64bdVrfe4ZcUUz1JRdoVNUJnm,1,ORCA_WHIRLPOOL,,0,0,,,
8psN3FhC8FJAD37bRPMNLAYD9PXJnA8zozBn2AfFEoih,1,SPL_TOKEN,mint,0,0,8725834692306495443,9,
8vmfpC295wnxH7mnPw3GpfvD9mCCdJBj81mPfe9PL9Wi,1,SPL_TOKEN,mint,1,0,289140954045347,9,
AHkitG2B9KTHXtc5nyun96tPEx3QJajP85NXxaiG2cM5,1,SPL_TOKEN,mint,0,0,699251563187155352,9,
AtXoHRmGzePmWdJTVzmchX9VTggMaccKoTMx2oGpogVJ,1,SPL_TOKEN,mint,0,0,8947360768530633546,9,
AuhHd6SJuyoZUQHu5HDCMCcxogCEEKHi9Auu1tUebugn,1,SPL_TOKEN,mint,0,0,9999191220190598533,9,
B9ZArmaKEZnBGANZGr812LSHhNPLRTefzRe1e6Hc6wa5,1,SPL_TOKEN,mint,1,0,290298,0,
BH96UcPvksn7TF61gdwvysnYCRnH8Qrpy7jJUYvg63pu,1,SPL_TOKEN,mint,1,0,28218,0,
BPFLoaderUpgradeab1e11111111111111111111111,1,NativeLoader,,0,0,,,
