address,chain,source_count,sources,categories,onchain_type,ref_date
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,SOL,4,chainabuse_crawl|chainabuse_desc|kismp_defihack|solrpds,chainabuse|community_reported_desc|defi_hack_attacker|rugpull_token,TOKEN,2026-04-08
4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,SOL,3,chainabuse_crawl|kismp_defihack|solrpds,chainabuse|defi_hack_attacker|rugpull_token,TOKEN,2026-06-01
So11111111111111111111111111111111111111112,SOL,3,chainabuse_crawl|kismp_defihack|solrpds,chainabuse|defi_hack_attacker|rugpull_token,TOKEN,2025-10-25
2FPyTwcZLUg1MDrwsyoP4D6s1tM7hAkHYRjkNb5w6Pxk,SOL,2,kismp_defihack|solrpds,defi_hack_attacker|rugpull_token,TOKEN,2021
2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,SOL,2,chainabuse_crawl|chainabuse_desc,chainabuse|community_reported_desc,TOKEN,2026-04-26
3FG9DAv3CDBEh1CQJhRM9BYe5thUMvP5GmW46524Qahv,SOL,2,chainabuse_desc|solrpds,community_reported_desc|rugpull_token,TOKEN,2024-01-06
3mXx1bNiB5bhgwznk4eeqM9eoy6DU3CeCkm1LPabeoEh,SOL,2,jupiter_banned|solrpds,rugpull_token|scam_token,TOKEN,2021
3wRre6bqgqBFfNUbdTaUGQSJ4vWFnbwe6QiWJgqzHiu7,SOL,2,chainabuse_crawl|chainabuse_desc,chainabuse|community_reported_desc,PROGRAM,2026-08-09
45HfvXJHY9msY2i4EmUpume1mSMLUvdaWsJRbctAobQM,SOL,2,jupiter_banned|solrpds,rugpull_token|scam_token,TOKEN,2021
48k28C8nQAg4hwMu1PNVeMeoRUYdghCYHNyU2mZRpump,SOL,2,chainabuse_desc|solrpds,community_reported_desc|rugpull_token,TOKEN,2024-07-28
4bZvoQdQxhbHXwaoC4zFyyL5Yp5ngMkKAbrgpTWEjQBH,SOL,2,chainabuse_crawl|phantom_blocklist,chainabuse|scam_token,TOKEN,2022-05-27
57JAVLoynZJTzwJDuVgs8u8BWSQK6qosPyyuW9ZUEMh,SOL,2,chainabuse_crawl|phantom_blocklist,chainabuse|scam_token,TOKEN,2022-10-28
5jx8wMxEpuyS8CSef7u6X9JAiV7hVPfphntxMrzMHsJi,SOL,2,chainabuse_crawl|phantom_blocklist,chainabuse|scam_token,TOKEN,2022-11-07
