address,chain,source_count,sources,categories,onchain_type,ref_date
6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,SOL,3,chainabuse_crawl|defi_rekt|rekt_news,chainabuse|exploit,WALLET,2022-04-01
Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,SOL,3,chainabuse_crawl|defi_rekt|rekt_news,chainabuse|exploit,WALLET,2022-07-03
GeEccGJ9BEzVbVor1njkBCCiqXJbXVeDHaXDCrBDbmuy,SOL,3,chainabuse_crawl|defi_rekt|rekt_news,chainabuse|exploit,WALLET,2023-10-10
HkGz4KmoZ7Zmk7HN6ndJ31UJ1qZ2qgwQxgVqQwovpZES,SOL,3,chainpatrol|rekt_news|tayvano_lazarus,blocklist|exploit|state_actor_dprk,WALLET,2026-04-01
2BLv7U2ynTwzxSe2wdfrgYTjogMfXKK2cYE59iVo9D2X,SOL,2,chainabuse_crawl|chainabuse_desc,chainabuse|community_reported_desc,WALLET,2025-06-23
2Rs4xxz1SdZRZBRgzBmSY7T5AZUSGRDh5GpiySoKsamW,SOL,2,chainabuse_crawl|tayvano_lazarus,chainabuse|state_actor_dprk,WALLET,2024-03-29
2XxegSqY92y6mAb7fpJBpArxQyxLYhp2DsrEubjYmfxR,SOL,2,chainabuse_crawl|chainabuse_desc,chainabuse|community_reported_desc,WALLET,2026-07-22
2ymk4r9HunMLtbutJU4JMFfhcF46dvGywmd1WBdwnL9y,SOL,2,chainabuse_crawl|tayvano_lazarus,chainabuse|state_actor_dprk,WALLET,2024-03-29
2zX7gcSuYtTzs1KFrcd2DEHALLV6pZkVoUvtww3tBYWj,SOL,2,chainabuse_crawl|chainabuse_desc,chainabuse|community_reported_desc,EMPTY,2025-08-12
3HZmQ7TVkhcuPu5jb349LARJYP8LMVC7U31qsCuYCkso,SOL,2,chainabuse_crawl|solphishhunter,chainabuse|phishing_verified,WALLET,2023-10-08
3LeVizuW3YoCnjfMfuQ22rSFQLDLdo9jXLKjyqfBU3w5,SOL,2,chainabuse_crawl|chainabuse_desc,chainabuse|community_reported_desc,WALLET,2024-07-04
3z3nLpD8qskGW25H18mSmx5SKY9z4ibKDx4njP46H9He,SOL,2,chainabuse_crawl|tayvano_lazarus,chainabuse|state_actor_dprk,WALLET,2024-03-29
42RLPACwZPx3vYYmxSueqsogfynBDqXK298EDsNoyoHi,SOL,2,ofac_sdn|usdc_sol_frozen,enforcement_frozen|sanctions,WALLET,2025-11-20
4BGKKuj26cbxJNszGXMMzw1gettydfg8SVfaAnRWZ9ud,SOL,2,chainabuse_crawl|chainabuse_desc,chainabuse|community_reported_desc,WALLET,2022-04-16
4QFiKg8ejx5LfqqLNbnKsiCnbEgRtgakBF6abMrkquKW,SOL,2,chainabuse_crawl|chainabuse_desc,chainabuse|community_reported_desc,WALLET,2026-07-22
4WibHYwCn42GgnYeQMftE3yzqPWYLtStucXNgFzjknwN,SOL,2,chainabuse_crawl|rugcheck_creator,chainabuse|rugpull_dev_creator,EMPTY,2026-05-12
4WnPebowR4HHfumvNPaDjG6Pa5Hi1jxLm6xmmBq33QVk,SOL,2,defi_rekt|kismp_defihack,defi_hack_attacker|exploit,WALLET,2026-06-10
