mint,creator,rugged,score
48k28C8nQAg4hwMu1PNVeMeoRUYdghCYHNyU2mZRpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1378
11UWkTuhDK4wkzJzpYu7WnztNcwocNVZFPxVyhEpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,817
11W8vakvavnP9aryEK8jmDDsdeWE6S6SGu8Fjkipump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,259
123evkMohRQw9X95RpyfM32m8MG6VCB72BhHBhmGpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1
123fJ8eJ3KeMaAsSXAaCE1B17xjAYHuGa3Wt7cwkpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,27
124gpW1VL9PfAFzdGDqtbLspBKXDp2G5MaXNdJMwpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,576
1254YT9pX4kaczmZi22TF83aAPQ24vyDdoybqPU4pump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1156
126AB1un49xM3sTfgskpQtvvKeEJ4PNQGd1S6aEcpump,9CT3MCJE91chZvDL4vhVHU4V2ZJHwRDopPPQKVSVD7Vz,False,1276
126UrHYrvCwvgtyNTpLHWAtunfig5HfY3168AW9Mpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,594
12AhaWh6JxD7HAEZvtGvYi8SE4NGqYgFAJAwcxUEpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,900
12Na5pfPwc1AZQZdBoLsg2SM6Zp8zFAaVgp8itnJpump,Gge97pV5AqAwH4hEeJX3QzX1hXLWsvPkZaaZ4K1KYe2K,False,2757
12WRu4BdJk1yM3Nk433yg3S9GnxniUdueeu29iMPpump,,False,227
12WnYcuH8DonpxzgLADujkdNHWNBoFXakhLZP9Y2pump,DGoBaBH1ctt5WTNGbyzWq5UAtvVAouxp7c3Rm9FKXSVd,False,1105
12d3KBU8GPk8aoZKceBCmxWXSkEpLNXYNSScS7QTpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,616
12hZbyqta7k4jEiRkkAMbo92SMyzBRztsnt773q2pump,2py83cwENfTW6c1NgVCha3vmed2zLe8Bz4Cq3QwJYNMc,False,1
12hpdYatPFQQ57kCSZR4YKeBhsKYUPqRCChDVJPzpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,24600
12m1W7jHMttSMWof9RkmK3rTM3maQWbCH3nRDqQwpump,4r2wzwuRgxCf8fNjgtRvoBJF6qM9fgSpZG2XkDgaAjeB,False,2754
12qQ7NPzEUYspwW7opSRPSXH7Kwj2wU6ezPtWRKtpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1142
12s9rrDkaTGpYGSYJrnamkrfTynd1aij5uLsaSCHpump,3uZ4x3a5t78BC2XjtCMSXv74sFwpdFM4NCXFTRxggkP1,False,23248
12sCFPJSfe8PXE1aiW28g6ZskJ7w7kKsiAvVzLUXpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,178
12z9qhkgdbtKxGQ7cxkDwtTcPRX8RdvC3ZhNETq8pump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,396
12zG45FuFHZRNr7i6wh4cmYVMYS6hhbDSjSJ5VePpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1817
13Ak5duCiKqsqB9giqqhrKRqYFGm7HuiHri43Nejpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,475
13Bzz8Tqm7gtmb897W5pGrKFFgyP842nzQ3J8Fzfpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1
13DB6vz6AVBnPkQdA4GbRTTGtpiZutbM47N1arKhpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1
13JJzcxF3EKxWM8CMxUSf1zPKZXFyasXrPtdDrUZpump,,False,733
13MdmEP3iSHF4atNK2euNnhKwyP1nSkTebMPKEfPpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,765
13WbCKd3d87YA5UJvcP8xbjJwgfJdkjYGdF5cb5Dpump,EVeocMKsAar2AXtfyfpVSjvsMuopL7uih9YWtpTMLCjH,False,1986
13Y8V7bPYEhSBh45L8ojw8mK4ksaPKSYyYBYHR4Jpump,5cnbzt7Bjeo8TZteWLLT37zM3HVQNoyWstWhm36MyYDx,False,22129
13ekQtgpnADChUExRX8aFmSz7NxR6k6nSxtisdtkpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,474
14Ak6KegFHLANKALmpjdn1MFW477yvesX8cdzdVEpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1
14CP721J5AUw4RAkydnFcY6PyvV8vuzuBiHAakWSpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1321
