address,type,owner
126AB1un49xM3sTfgskpQtvvKeEJ4PNQGd1S6aEcpump,TOKEN,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA
128Us5zMeRwMCXCCDxvEo6XsY3zaq55UV3HEuwScBF8c,WALLET,11111111111111111111111111111111
1298WvyB3AKpMjvSw8THTo7S8QPsP9egr99nFM7k4wD5,WALLET,11111111111111111111111111111111
12CoL5jiPci4qDBwZ8DcqkTNAQfjuD7sTyRf11n6Uaun,TOKEN,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA
12DZ4KVBPHxLKWDWnSN5fo1h3PqayGG4CvyxqFw1c6pQ,TOKEN,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA
12Hh95o3xyeJFDLCCevuE5wcRQ1joe6wvXKFN9HBSn8d,EMPTY,
12Rpip25pRDFYELyrLprQt7sMQqUPG9jFa94hDULPNaJ,TOKEN,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb
12U4Rur1xV8Uh81WBXweqJNzvn78Bmf5oZmkts43zNxC,WALLET,11111111111111111111111111111111
12YmctPskoUr8MpDpN5V9iwkodVBcJQBf2Uy6TnRojHG,TOKEN,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA
12hZbyqta7k4jEiRkkAMbo92SMyzBRztsnt773q2pump,TOKEN,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb
12hpdYatPFQQ57kCSZR4YKeBhsKYUPqRCChDVJPzpump,TOKEN,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA
139jSMkwUXCahZozjoioM95NLoUFg22u1YpCijrBhkbw,TOKEN,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA
13LWiQz8xiY69qkxPzVRhR6jrNT5C1uKtgBxuBZDBAGS,TOKEN,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA
13R6kExQpmsZUK259gW643WaJLpeUoNvaGpRaepE3zp,EMPTY,
13h3cCmq5NXHwsm8q1iF4UgkoBgBH7QMYJr5ci74M9Bt,EMPTY,
13hHKXv1ccxj6GPoPjTUwe5ZLmcW4jaYUAVa6C8tprix,TOKEN,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb
13qESscnJbEZjsUi4fv47nvxMcHjp4VNRapSuog1wYus,WALLET,11111111111111111111111111111111
