address,chain,category,source,label,detail,ref_date
43Mrr9wPbizck11itdQA1LrFdPUGjMzF5HuAtNAs5J3J,SOL,scammer_pumpfun,allenhark,blacklist,,
5qgWTV1B4yJLSdLBRTj4WKQKyVvpUGAEaXEqm8aPAbzr,SOL,scammer_pumpfun,allenhark,blacklist,,
8WU6P8yA3A3oLnnKRGnxY7Ec6JMsbPnnTFh7FhvzACfE,SOL,scammer_pumpfun,allenhark,blacklist,,
F1D5zW7TsvNQYfwPwdwEKaAf55PPi71qtNGQcVp4Mqpg,SOL,scammer_pumpfun,allenhark,blacklist,,
7VUvD1Bsw2bLVnDkz7qXyTCnkxH2jAZV6Y4x3vrQJEKo,SOL,scammer_pumpfun,allenhark,blacklist,,
73P3KpV5TSMztSvr1g4Ass827vgrX7PR8J7zArxnqP6j,SOL,scammer_pumpfun,allenhark,blacklist,,
doYCWUVcAjpnLUXbbFLNw9MS2BHzhh7wR5mkS22A4L6,SOL,scammer_pumpfun,allenhark,blacklist,,
G6mWb7TKcb3KFopTUVH2Kdb5fUwDsP8FHVutzE2WnbHU,SOL,scammer_pumpfun,allenhark,blacklist,,
CqpiUJb7ePf238kAvKGrcTcNZxFAHxV8aDdbQBYRwnvV,SOL,scammer_pumpfun,allenhark,blacklist,,
ESedAu19CvEgBGWLNxwXMdE1kJcFadn3owjgbAgoPuWM,SOL,scammer_pumpfun,allenhark,blacklist,,
5QZSUPrMuz9rDGpM9gEvyhDDBKELp9zDQD92TF6By9PR,SOL,scammer_pumpfun,allenhark,blacklist,,
CHH3dqFcg1wpPsN2ZJJES7X5CdCm5cH3395DgibxmkhY,SOL,scammer_pumpfun,allenhark,blacklist,,
6Ux1KoJWZJAhP1Tmx5ULbhTAL5q2BptnaJdocqCbg3BQ,SOL,scammer_pumpfun,allenhark,blacklist,,
7DMX8Ks8Kj2sGv9knKjJ9nHJcjRjDLcV9gZ8Upk43HzJ,SOL,scammer_pumpfun,allenhark,blacklist,,
F15XYdhcCGRE4T6J6ev51T3drdR3vfbT6RqAM9X4fDrg,SOL,scammer_pumpfun,allenhark,blacklist,,
FKHy79DjB1NQ74XFko42NJUeMHU6EbQvhaYwPZZs6Ag8,SOL,scammer_pumpfun,allenhark,blacklist,,
CPyRZfkn1dg8fzPvLxdm3oSZzCmuPXvFbheQPC61sBEz,SOL,scammer_pumpfun,allenhark,blacklist,,
HgLqyeDewm1zzRUmWFLiAyJ7SB5xYpx747cbvJVTjGbj,SOL,scammer_pumpfun,allenhark,blacklist,,
F9bF9d5MmXxtkU4Nu7okvH545E9xDqkfNm6CP7d1EzCB,SOL,scammer_pumpfun,allenhark,blacklist,,
5UBtmEEvkS44DHUXzYTTTYnxqgG3Eh2kMP6NBHbmGnw2,SOL,scammer_pumpfun,allenhark,blacklist,,
EDNWtP6pQ9YDT9bnqzexFNdnwuXRew5MWk9qyYsbzMME,SOL,scammer_pumpfun,allenhark,blacklist,,
3KpUhGKLtrJ9QhTNpK8nXi8XkexrKxzHWGPJ3DRetwto,BTC,scammer_pumpfun,allenhark,blacklist,,
4PiDMqmEHDKY3GukehQ1dPrSQ4W1Jb8QSSDAMbNTRjaM,SOL,scammer_pumpfun,allenhark,blacklist,,
7FyGqhqSVzuDg5pVd5wkxrWFNpNBPUVPUJeBFB6p3WwA,SOL,scammer_pumpfun,allenhark,blacklist,,
C4czJWK22hQNYxvdZqBBnmevbCEBpUJtVx9AHfbeDwt2,SOL,scammer_pumpfun,allenhark,blacklist,,
CPfvVQi5pp3j1dHfkmR9kgNfk5qBBpHWyBP38fME6URj,SOL,scammer_pumpfun,allenhark,blacklist,,
