address,chain,category,source,label,detail,ref_date
DdrRnN27KqBUs7hZXfTiKJqvB7jxTJA42izK32Mrei7h,SOL,chainabuse:RUG_PULL,chainabuse_crawl,RUG_PULL,votes=1;checked=False,2026-08-26
UoTfXNNGNjv9zuS6GqYNfoiS1Lb7Z1SVocwcrPY3cjV,SOL,chainabuse:RUG_PULL,chainabuse_crawl,RUG_PULL,label=UOTF;votes=1;checked=False,2026-08-26
5uucPiVVQ2Zms4VmmTTS9vzM1wLsgdKA3zdXg3siBXZx,SOL,chainabuse:RUG_PULL,chainabuse_crawl,RUG_PULL,label=UOTF;votes=1;checked=False,2026-08-26
8tdFUYdGySY3jDDd7mdCaQrGp1ZTb2QDnvdhD4SrjKGy,SOL,chainabuse:PHISHING,chainabuse_crawl,PHISHING,votes=1;checked=False,2026-08-25
2HAWTvXqqTUoQtqdXozebi5nQppc91s5wUwR58zJpump,SOL,chainabuse:RUG_PULL,chainabuse_crawl,RUG_PULL,votes=1;checked=False,2026-08-25
gGPEwj5HGEJqmj1J9npUnENhjjH8tfW85f4xhxMXJUY,SOL,chainabuse:PHISHING,chainabuse_crawl,PHISHING,votes=1;checked=False,2026-08-25
6eP7BmBU65AcriZiQfJTiPBQ62nsB3trxJ3Wacv53NhF,SOL,chainabuse:OTHER_HACK,chainabuse_crawl,OTHER_HACK,label=stolen solana fund;votes=1;checked=False,2026-08-25
9mD91FnUBC4gyFdVHyj4jXAABHKLAzYqQYfEhae9Ekky,SOL,chainabuse:PIGBUTCHERING,chainabuse_crawl,PIGBUTCHERING,votes=1;checked=False,2026-08-25
GT3d3ymrVj2uhRZCVeBuGHrFHmBxHCWneMmh4tUGQMZ6,SOL,chainabuse:PHISHING,chainabuse_crawl,PHISHING,label=Received the stolen SOL;votes=1;checked=False,2026-08-24
FQHcUFvoj3euFr5KK6DU7jt8xzprCG6dKAwGddiPgp67,SOL,chainabuse:OTHER_HACK,chainabuse_crawl,OTHER_HACK,votes=1;checked=False,2026-08-24
35Yic1kF57zxwA5dvwxTsEgkiBXbkPDiggKk2zdMKLJq,SOL,chainabuse:OTHER_HACK,chainabuse_crawl,OTHER_HACK,votes=1;checked=False,2026-08-24
BtsBSdBkEouxw14wLjGrc4VrVpiYW595f6pYnfkK5Tvv,SOL,chainabuse:OTHER_HACK,chainabuse_crawl,OTHER_HACK,votes=1;checked=False,2026-08-24
CVkfM75doCa24VgxjZbWsqAg2FmfNvQru8BmazM5dpbv,SOL,chainabuse:RUG_PULL,chainabuse_crawl,RUG_PULL,label=the creator wallet;votes=1;checked=False,2026-08-23
DQ5JWbJyWdJeyBxZuuyu36sUBud6L6wo3aN1QC1bRmsR,SOL,chainabuse:OTHER_HACK+RUG_PULL,chainabuse_crawl,OTHER_HACK|RUG_PULL,label=Funder wallet;votes=1;checked=False,2026-08-23
CnvVbNxCdGzeKJr63K5i8yLbRDTzSJDhTVsEBxvqeM3N,SOL,chainabuse:OTHER_HACK,chainabuse_crawl,OTHER_HACK,votes=1;checked=False,2026-08-23
47U8ER7J7ui8KeGXzUpWh2WLHTdCLSXv3fVuhqQuFGp2,SOL,chainabuse:IMPERSONATION,chainabuse_crawl,IMPERSONATION,label=my wallet;votes=1;checked=False,2026-08-23
HPxv4YCqzEWHv3LfdeFSWpTXGDcSKSug8aeoVHWcJuz4,SOL,chainabuse:PHISHING,chainabuse_crawl,PHISHING,votes=1;checked=False,2026-08-23
82RkbdEMzKsYEUQhcmph2CE6PELa3CqL776YaYJyM9qY,SOL,chainabuse:OTHER_HACK,chainabuse_crawl,OTHER_HACK,"label=Consolidation, active;votes=1;checked=False",2026-08-23
FgJwkBAfxJsfUMViBnjHu9EFksyvFMBPKRtcsH2y6jnU,SOL,chainabuse:OTHER_HACK,chainabuse_crawl,OTHER_HACK,label=Bridge receiver;votes=1;checked=False,2026-08-23
GpUbFs4W4cqZtsjDeASXywpUdXscKUifo6qRW6DPPPD4,SOL,chainabuse:OTHER_HACK,chainabuse_crawl,OTHER_HACK,"label=Pass-through, drained;votes=1;checked=False",2026-08-23
HeqnirpK6wMUDdT6SCRkugHTgYdfDEH5tuz3311zDvyQ,SOL,chainabuse:OTHER_HACK,chainabuse_crawl,OTHER_HACK,label=Feeder wallet;votes=1;checked=False,2026-08-23
F5gEnnpX4XwbXdacxXqNHLXu1SqXEKLtGgEsdTKqEmop,SOL,chainabuse:PHISHING,chainabuse_crawl,PHISHING,votes=1;checked=False,2026-08-23
AAGiv4aG6Wcqx77p62jfBAFY4WmvP5TCagXdywACh9ZS,SOL,chainabuse:PIGBUTCHERING,chainabuse_crawl,PIGBUTCHERING,label=XTPWALLET SOL deposit;votes=1;checked=False,2026-08-22
FsCrmkUZbXEj5GTh5kLza3kBogW7yCyotz6inFNMJzxi,SOL,chainabuse:PHISHING,chainabuse_crawl,PHISHING,votes=2;checked=False,2026-08-22
FjEMVyMWZzy4tyqu59x2K5Y7Es8bnTnE3Gm17UtRgQGL,SOL,chainabuse:OTHER,chainabuse_crawl,OTHER,votes=1;checked=False,2026-08-21
EH93somtm6C4gAuMrLrj1aL22X3hBZAi4AaX4RmNTtqp,SOL,chainabuse:OTHER,chainabuse_crawl,OTHER,votes=1;checked=False,2026-08-21
5a7PWEm3AVPgTRGRXJ5ZtGWWcxRL9GdP3B6ftEjyh4AF,SOL,chainabuse:OTHER,chainabuse_crawl,OTHER,votes=1;checked=False,2026-08-21
HH63KsMzbAG5zssJvPwTFwXHCq1HqMPU4jtvTesWZ1c,SOL,chainabuse:PHISHING,chainabuse_crawl,PHISHING,label=victim;votes=1;checked=False,2026-08-21
HuXNdY67ApxjWay7t3EKxEgzWr9jECsdbxBs6ngQroZC,SOL,chainabuse:PHISHING,chainabuse_crawl,PHISHING,label=scammer;votes=1;checked=False,2026-08-21
HEAGrmLW9mUu7E2NoyHLro5raEB9NCb9a68qsSZR1wsC,SOL,chainabuse:OTHER_HACK,chainabuse_crawl,OTHER_HACK,label=Main theft recipient;votes=1;checked=False,2026-08-21
AYZRrmA1J17ndWdrUMvc22t9aearxt18GobwMpvckjWP,SOL,chainabuse:OTHER_HACK,chainabuse_crawl,OTHER_HACK,votes=1;checked=False,2026-08-21
54Ka9zXW7K1PAZpycXZAGefETeb95yMjuUeJ3Ass1n2p,SOL,chainabuse:OTHER_HACK,chainabuse_crawl,OTHER_HACK,votes=1;checked=False,2026-08-21
HEAGQzWWV3J4hFxu7aBSmDXkcu91FpCd1pSxjZjWzwsC,SOL,chainabuse:OTHER_HACK,chainabuse_crawl,OTHER_HACK,votes=1;checked=False,2026-08-21
DopdctvuT5BvREfEmH7PLU7ovvBYtoPe5E98VEsCBDiF,SOL,chainabuse:OTHER_HACK,chainabuse_crawl,OTHER_HACK,votes=1;checked=False,2026-08-21
DopdjdYNfxPudwkLL29nyqJ8biGtJhcCtkK2W3WyADiF,SOL,chainabuse:OTHER_HACK,chainabuse_crawl,OTHER_HACK,votes=1;checked=False,2026-08-21
DyuzCNKs8gtuo6UyD5JoeQRSYn7R18E54ugREVgJDPgR,SOL,chainabuse:OTHER_INVESTMENT_SCAM,chainabuse_crawl,OTHER_INVESTMENT_SCAM,votes=1;checked=False,2026-08-21
3m6sPLceSsUnHs1YKj25TgLgFpz5XrENtiv2j8L7yFvx,SOL,chainabuse:OTHER_HACK,chainabuse_crawl,OTHER_HACK,votes=1;checked=False,2026-08-20
5hFuWdijjvizpki7ezzrAQQRP2jno2iMs2S44auxtjeh,SOL,chainabuse:OTHER_HACK,chainabuse_crawl,OTHER_HACK,votes=1;checked=False,2026-08-20
65AyDhjhm3cArhjNpKcF71vRDCq5dVrVPzCLLytjqyKc,SOL,chainabuse:PHISHING,chainabuse_crawl,PHISHING,votes=1;checked=False,2026-08-20
BqcX8YoTMxuxKkcBfB63eXeBvzezHb6Q61ZcLVvz3NfE,SOL,chainabuse:PHISHING,chainabuse_crawl,PHISHING,votes=1;checked=False,2026-08-19
