address,chain,category,source,label,detail,ref_date
0x665f384184a20fa92ecdf87f52d76d25fa29d358,ETH,exploit,defi_rekt,Walletreum,"93217564710e5 The EOA wallet exchanged the minted tokens for 138,439 $USDT. https://bloxy.info/txs/calls_from/@?signature_id=1102183&amp;smart_contract_address_bin=0x7a250d5630b4cf",2020-11-15
0xa360d8e3b152b3b32504045431f64356cb330a9a,ETH,exploit,defi_rekt,YFFC,herscan.io/address/0xe28db60e21ce63d159da8365dc65c52daac99ec4 Scammer Address B: https://etherscan.io/address/@ ,2020-11-06
0x18738290af1aaf96f0acfa945c9c31ab21cd65be,ETH,exploit,defi_rekt,Paid Network,bd6f73ef35ac0db1bb96229627c9d77555a0 The transactions of selling off the tokens: https://etherscan.io/address/@#tokentxns The deposit of stolen funds to the Tornado Cash mixer: htt,2021-03-05
0xca8b324d02f1718041d0024136280e7e45e48b88,ETH,exploit,defi_rekt,Union Capital,70cd0ba1b3e624ceae866aa818 83.6 ETH were drained by removing the liquidity: https://bloxy.info/txs/calls_from/@?signature_id=1137786&amp;smart_contract_address_bin=0x7a250d5630b4cf,2021-02-10
0x93ec7f43330585bb3c81f3cce2b7a9f3e6bad66f,ETH,exploit,defi_rekt,DARK DEFI,herscan.io/address/0xfa5a97ce3badaeb5f7ca6e406e42e70319a67b4a Scammer Address B: https://etherscan.io/address/@ More example Transaction: https://etherscan.io/tx/0xef5c9b6d15519354,2021-02-20
0x0659f3520590a4d39546975b8e56b2ef164c194d,ETH,exploit,defi_rekt,Game Swap Exchange,90a535c5770af217f1e1b7739e4897b Scammer Address that received the minted tokens: https://etherscan.io/address/@ ,2021-01-24
0xafde309b21922dc45f20adfb659ef36ac984a454,ETH,exploit,defi_rekt,Bank Protocol, 28.63 ETH was gathered from the investors at the following transactions: https://bloxy.info/txs/transfers_to/@?currency_id=1 The liquidity wasn't added. The website and socials ar,2020-12-23
0xdc553e9b6e4b771ab53aac159318dfd6693d3822,ETH,exploit,defi_rekt,Zenith Finance,d in the Telegram post gathered ETH from the investors. Transaction list: https://bloxy.info/txs/transfers_to/@?currency_id=1 The initial liquidity wasn't added. Stolen funds were ,2020-11-28
0x432cab608c3f72814e303692da5310b21e887c69,ETH,exploit,defi_rekt,Yearn Machine Learning,. The stolen Ether (90.30 ETH) was deposited into the Binance exchange: https://bloxy.info/txs/transfers_from/@?currency_id=1 ,2021-01-21
0xa0acc61547f6bd066f7c9663c17a312b6ad7e187,ETH,exploit,defi_rekt,PancakeBunny,. Stolen funds: - 6.97M BUNNY (~$1B) Block Data Reference The attacker's address: https://bscscan.com/address/@ The transaction behind the attack: https://bscscan.com/tx/0x897c2de7,2021-05-19
0x2b528a28451e9853f51616f3b0f6d82af8bea6ae,ETH,exploit,defi_rekt,Alpha Finance Lab,", aUSDT, aUSDC to Curve a3Crv pool. Block Data Reference The attacker's address: https://etherscan.io/address/@#tokentxns The transactions behind the attack: https://etherscan.io/t",2021-02-13
0x3811765a53c3188c24d412daec3f60faad5f119b,ETH,exploit,defi_rekt,Harvest Finance, Tornado Cash. Stolen funds: - $33.8M USDT Block Data Reference The attacker's address: https://app.zerion.io/@/history The transaction behind the attack: https://etherscan.io/tx/0,2020-10-26
0xd8428836ed2a36bd67cd5b157b50813b30208f50,ETH,exploit,defi_rekt,Belt Finance,iding a profit of about $1 million. Block Data Reference The attacker's address: https://etherscan.io/address/@ The contract used to perform the attack: https://etherscan.io/addres,2021-05-29
0xe2307837524db8961c4541f943598654240bd62f,ETH,exploit,defi_rekt,Akropolis,"oken contract with the malicious logic, which called deposit again (reentrancy): https://etherscan.io/address/@ The attacker: - created a fake token - deposited the fake token - go",2020-11-12
0x882d72aaae187f54e85c7a0cb19dfec5316cd9aa,ETH,exploit,defi_rekt,Cheese Bank," Addresses, related to the flash loan attack: The attacker - @ Smart contract with the malicious logic - 0x9e0259437804c7bf175421a451bc80611a0b93c3 Transaction behind the a",2020-11-06
0x9e0259437804c7bf175421a451bc80611a0b93c3,ETH,exploit,defi_rekt,Cheese Bank,n attack: The attacker - 0x882d72aaae187f54e85c7a0cb19dfec5316cd9aa Smart contract with the malicious logic - @ Transaction behind the attack: https://etherscan.io/tx/0x600a869aa3a,2020-11-06
0xb77f7bbac3264ae7abc8aedf2ec5f4e7ca079f83,ETH,exploit,defi_rekt,Origin Protocol, the stolen funds to their account. Block Data Reference The attacker's address: https://etherscan.io/address/@ The transaction behind the attack: https://etherscan.io/tx/0xe1c7624,2020-11-17
0x47c3d84394043a4f42f6422accd27bb7240fdfe2,ETH,exploit,defi_rekt,Origin Protocol,"5640e708e3f8377982f55f8cf2a8401 The contract deployed at: https://www.contract-library.com/contracts/Ethereum/@ - 1,000,000 DAI was transferred to the attacker’s account https://et",2020-11-17
0x3b6e77722e2bbe97c1cfa337b42c0939aeb83671,ETH,exploit,defi_rekt,Spartan Protocol,"ARTA - 21,555.69728926154636986 WBNB Block Data Reference The attacker's address: https://bscscan.com/address/@ The transaction behind the attack: https://bscscan.com/tx/0xb64ae25b",2021-05-02
0x47f341d896b08daacb344d9021f955247e50d089,ETH,exploit,defi_rekt,bEarn Fi,"was returned with 7,806,580.38 BUSD. Block Data Reference The attacker's address: https://bscscan.com/address/@ The transaction behind the attack: https://bscscan.com/tx/0x603b2bbe",2021-05-16
0x75aa95508f019997aeee7b721180c80085abe0f9,ETH,exploit,defi_rekt,Pickle Finance,nsferred DAI to the attacker's EOA. Block Data Reference The attacker's address: https://etherscan.io/address/@ https://etherscan.io/address/0x02c8364546ec849e1726fb6cae5228702b111,2020-11-21
0xef63ad578e75d498d0723e5420fa1962b1d28764,ETH,exploit,defi_rekt,Value DeFi,was laundered to a specific address. Block Data Reference The attacker's address: https://bscscan.com/address/@ The transaction behind the attack: https://bscscan.com/tx/0xd3382252,2021-05-05
