address,chain,category,source,label,detail,ref_date
8vmfpC295wnxH7mnPw3GpfvD9mCCdJBj81mPfe9PL9Wi,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
XzR7CUMqhDBzbAm4aUNvwhVCxjWGn1KEvqTp3Y8fFCD,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
EYwnq7q276WVZYpBwPapHGP5DxHJyRr77nGbTQAhLJSi,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
BFhiZCvvigbAcawzQgHRWnTeMBwjBuQKPuNYq7QfJfZf,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
3Yx1HpdgQVPgwxbbUovDehPdag6iqqZjdBJEafXE7uLz,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
EmeQPxdJ7XPZbopFfjGGVudEPQp3hGkHETFe2TMPmSM8,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
6phiCmp87J9qDNCwM2jPj1fnoFaQAoFebyB5CxusZrHG,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
6EYtxNKDCXPqG3dgpB3ZBAYu1kWgXgAruzeogppqcaC1,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
DRbC29tjC7GPBpQ8MnuuanyDTU9VAGfkf3NTeRmG1CJD,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
Az9MBoFBsg3g2jiFXLVeKSPJfqAWbNzujFu2TweKPZgN,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
FDGkVsQkJtNHGFSYSkbTzYJcVAbAr4eNPQPDbB9HA2Kv,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
B9ZArmaKEZnBGANZGr812LSHhNPLRTefzRe1e6Hc6wa5,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
BH96UcPvksn7TF61gdwvysnYCRnH8Qrpy7jJUYvg63pu,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
G3S8Hyjxi9xAnoKGNbGFb5Q3i1iJmKL9YP2fR9cv4FjH,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
68e5KZaYSvbWEm8Y2kNeeQdXFTq2HayWH8TbAfaGggNu,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
3B2VzzeKeiLX3XT8Lqgoyw2uosTGSPYYeYHTSHEzcxe3,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
AynRtCA14b3jAT98aPWQXaE72TeaVVsSD8dpqgV35k62,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
FqxnP38R1TjtwBqp3jp8h7Yzk2WwRzFgMNMTAbwrA1uK,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
DzF7qqAH2es8RtNcwUwUvuUjMXUPAqa6Uf9Wm5qsdBJ8,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
D7DQMKopKbfscH1dgZkvS3aktVb9TDvSpUtytcf9gpEQ,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
J9k9Lh7yv7yBoqWhptTRwkBZLrTCDEMqTG5csdAgiUTX,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
7sgPqLsVuGk9FNXkAtWzfTmi5RbgotM71DbnKNLjfVnD,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
DaGJht1LFrrCrn1JYUFd5zNFJTkna2exAjU6iBeNvBdo,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
8YhexPzQqzMgNbBwSVk4vDRSgWJnAvbDBYJAFoCzBbSj,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
6kTErzxDR7uMjqjbh3cRSyCmd2YxefxHFsmaPURHUcqT,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
PDVJSyYGJuTwywY1tNNpLEuGhGkCP5Hdw9ku2U4NrQc,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
8c4pbVbFFvzdsqSe3fS6ZdxJdSMiFuucgudz31rRDrLF,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
7iMWycmSTS7Jh7UMc7TtRTTaNMbsSemmjWZRXCxkGT5x,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
E4y48bh8S4WsqXdxn6BWcyu57nCZtsSRbcS1mTPN5Ayn,SOL,scam_token,phantom_blocklist,blocked mint,Phantom 큐레이션,
