address,chain,category,source,label,detail,ref_date
CWvyyHFxzApoJ6j4FV7oaYrm92pJzK6yA9WU7PfkKCTV,SOL,rugpull_dev,silent_killer,rug_count=2,pump.fun rug dev,2026-07-16
EYPrKeSUXxcwd2nAbmv7aGwwJWsTXafacbBHZ7NBpump,SOL,rugpull_token,silent_killer,xStrike,dev=CWvyyHFxzApoJ6j4FV7oaYrm92pJzK6yA9WU7PfkKCTV,2026-06-29
4wWYacRGWT9u1qyB7VU3VWfjbidrCu14vn1cpwfnvdBV,SOL,rugpull_dev,silent_killer,rug_count=2,pump.fun rug dev,2026-07-11
67ynShyuRcJeLM5wJuTAtUPU43suKambojHvD6oApump,SOL,rugpull_token,silent_killer,WENS,dev=4wWYacRGWT9u1qyB7VU3VWfjbidrCu14vn1cpwfnvdBV,2026-06-30
6mW9UoanWQNFcmUnzzNCFyk6KCemATDEMEWeQ938jj6E,SOL,rugpull_dev,silent_killer,rug_count=2,pump.fun rug dev,2026-07-14
AthDuPMH3NxrYacmFW7atD4mv6K2ZhmDrLq7EAAXpump,SOL,rugpull_token,silent_killer,,dev=6mW9UoanWQNFcmUnzzNCFyk6KCemATDEMEWeQ938jj6E,2026-07-01
8NUmxSFq4rEDxv5BY4R6xd6scoVHDnxj894oZVrUuu7e,SOL,rugpull_dev,silent_killer,rug_count=2,pump.fun rug dev,2026-07-08
8nV1A94UnmoidK3ujRMmxdgBZzeJTrezz4Hd2nRMpump,SOL,rugpull_token,silent_killer,Spacedrive,dev=8NUmxSFq4rEDxv5BY4R6xd6scoVHDnxj894oZVrUuu7e,2026-07-01
GkEeLAPZz41zkJYzEbYAKxqQesBbhSMuj6c4FjTDt24n,SOL,rugpull_dev,silent_killer,rug_count=2,pump.fun rug dev,2026-07-08
DTZhKWmpnf7DKgVPhHpkMQi5Zhg9dg8sUVetNhUbpump,SOL,rugpull_token,silent_killer,ansemconzimp,dev=GkEeLAPZz41zkJYzEbYAKxqQesBbhSMuj6c4FjTDt24n,2026-07-01
74SHHNw8SCr2i4xzTx32jTbyWUhNCbGBnjWstCShq1qu,SOL,rugpull_dev,silent_killer,rug_count=2,pump.fun rug dev,2026-07-10
7yb7ejK1ci7XdUduVrmepARyzc1m87gcKk3wRTiXpump,SOL,rugpull_token,silent_killer,SELDA,dev=74SHHNw8SCr2i4xzTx32jTbyWUhNCbGBnjWstCShq1qu,2026-07-02
CxJXf44XAbopGnVn6dG8D4vvELwTzHhfgapYpY4oobNE,SOL,rugpull_dev,silent_killer,rug_count=2,pump.fun rug dev,2026-07-11
3GVdr67faEyeHwV4KTGstoBNjzA1NcMgUSQP3Je1MFuC,SOL,rugpull_token,silent_killer,TURD,dev=CxJXf44XAbopGnVn6dG8D4vvELwTzHhfgapYpY4oobNE,2026-07-03
GSqcJ7nHZxckm9VvKfZ7V8rQg9vEuL7YEqaZLThoK37D,SOL,rugpull_dev,silent_killer,rug_count=2,pump.fun rug dev,2026-07-17
BLuFdjs86MHNZYDGdnGYU2TBfuLt56cXwNZDoabkpump,SOL,rugpull_token,silent_killer,GTABANK,dev=GSqcJ7nHZxckm9VvKfZ7V8rQg9vEuL7YEqaZLThoK37D,2026-07-03
