address,chain,category,source,label,detail,ref_date
GSjdhGyy7YdZNJmKcBPt5JePfT4Y5D8V8G255DJygewN,SOL,scam_token_deployer,solanafm_flagged,scam token deployer,SolanaFM 온체인 조사,
AoF7heFuMZHSwyiYg3yT6StBwnNN6tQYta76KFB4AT6T,SOL,scam_token_deployer,solanafm_flagged,scam token deployer,SolanaFM 온체인 조사,
BJJaBHA8XUbcKNVAYwD75tdQLxHnECa33vLSN7pb7mdM,SOL,scam_token_deployer,solanafm_flagged,scam token deployer,SolanaFM 온체인 조사,
BpKXaWfQFNbrmjpuSmrsCJ7rUYKEyZzdUvw6Q8Tyg4gT,SOL,scam_token_deployer,solanafm_flagged,scam token deployer,SolanaFM 온체인 조사,
5N7PBBYjAH9t2nabyaFMZWA9TTdpepxtFM9zBu9MNPfh,SOL,price_manipulation,solanafm_flagged,price manipulation,SolanaFM 온체인 조사,
CzCYTz3bzrPXeiB3xotvNsfawDN9HMZLSNSif9uUR2jp,SOL,price_manipulation,solanafm_flagged,price manipulation,SolanaFM 온체인 조사,
BSHQetPSTPaqvvoN5M8xB1xieL9jPMgnwsTdJQTc2YC1,SOL,price_manipulation,solanafm_flagged,price manipulation,SolanaFM 온체인 조사,
2w3WBLN92gXxaCXt6kbXJ7KiMYHXGsDGQFmvvsHkuWe9,SOL,price_manipulation,solanafm_flagged,price manipulation,SolanaFM 온체인 조사,
FJM2nAbTamVP3ceLQ7FMNwaCfyyF3j4MNDnr1ebLLvuz,SOL,price_manipulation,solanafm_flagged,price manipulation,SolanaFM 온체인 조사,
8SawTvYZeJexmZzx1SFgYGVYFDCtzUvctcw8ctgJ3SU2,SOL,scam_token_treasury,solanafm_flagged,scam token treasury,SolanaFM 온체인 조사,
