address,chain,category,source,label,detail,ref_date
2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5,SOL,phishing_verified,solphishhunter,academic,IEEE TIFS 2026,
3Bitp9awjSEGE1UumthfF6iogTuTkFhaLBHj3xvK7yQa,SOL,phishing_verified,solphishhunter,academic,IEEE TIFS 2026,
3HZmQ7TVkhcuPu5jb349LARJYP8LMVC7U31qsCuYCkso,SOL,phishing_verified,solphishhunter,academic,IEEE TIFS 2026,
3nnNu89ck4JV5GjhqE4FhfALy4vp5AjboEfpgKXrDraz,SOL,phishing_verified,solphishhunter,academic,IEEE TIFS 2026,
5gFF8fdjTjTza83JWBv7qnRVvLR32yPp4Wpx3ycuxk5L,SOL,phishing_verified,solphishhunter,academic,IEEE TIFS 2026,
6UYhE5u45ci2vFKjALc4SbaJJZeUjDAKx1pem8TWW3pe,SOL,phishing_verified,solphishhunter,academic,IEEE TIFS 2026,
6xWoqoLbuHaijvQ5rAv5iSJ4xEq7t3FVDz2muDYc5XZK,SOL,phishing_verified,solphishhunter,academic,IEEE TIFS 2026,
7G5bBWvQXj38EG5GCyCb5CFXhTNJjK2bzYYdnG2db2g9,SOL,phishing_verified,solphishhunter,academic,IEEE TIFS 2026,
7dm9am6Qx7cH64RB99Mzf7ZsLbEfmXM7ihXXCvMiT2X1,SOL,phishing_verified,solphishhunter,academic,IEEE TIFS 2026,
9MHwuBft1aALnqqfZWA9uVTjxTi4VkjV6bomipwWV5PG,SOL,phishing_verified,solphishhunter,academic,IEEE TIFS 2026,
9htfHryds3YLLjZZxa4RTyegFfsScvGcFTQyFCcVXUVm,SOL,phishing_verified,solphishhunter,academic,IEEE TIFS 2026,
A8h5fn4WLtpUwDvzNGVdxBB6vubebmvNXAkqTgVRu4nB,SOL,phishing_verified,solphishhunter,academic,IEEE TIFS 2026,
Abih5VzqFR8qMCJZNi1C7pJjkVZThgaKk9r6gjv1kYmC,SOL,phishing_verified,solphishhunter,academic,IEEE TIFS 2026,
BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,SOL,phishing_verified,solphishhunter,academic,IEEE TIFS 2026,
BNRThTYg9x49JYNkbDUYERb3X7JV2GYcEpFLAUHX5Rep,SOL,phishing_verified,solphishhunter,academic,IEEE TIFS 2026,
C6BSwzLCKMajG5c7tFNVX7QatYdcEpLQtjXETaX3txmY,SOL,phishing_verified,solphishhunter,academic,IEEE TIFS 2026,
CaNCU6LiZUKc7Su3avu5jDbdDXdKeAmv625c4M11111,SOL,phishing_verified,solphishhunter,academic,IEEE TIFS 2026,
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,SOL,phishing_verified,solphishhunter,academic,IEEE TIFS 2026,
DWy3LPLohdRLttLsx4NvL2eRegF66iKDqDpKdTXkaqFb,SOL,phishing_verified,solphishhunter,academic,IEEE TIFS 2026,
DmJaFCGnvQK3txE5UpMRxe2i4yZ8FEfSGr3Tsk4Lgr4r,SOL,phishing_verified,solphishhunter,academic,IEEE TIFS 2026,
