address,chain,category,source,label,detail,ref_date
821L241gacEqKJiCp9H7E9rqRXB31WoHLBqwhn8NMyWS,SOL,rugpull_pool,solrpds,Active,mint=EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,2021
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,SOL,rugpull_token,solrpds,Active,pool=821L241gacEqKJiCp9H7E9rqRXB31WoHLBqwhn8NMyWS,2021
821L241gacEqKJiCp9H7E9rqRXB31WoHLBqwhn8NMyWS,SOL,rugpull_pool,solrpds,Active,mint=5L87fjh5XZWERN4UGbK62TM1funxFvXSRUGmvbHBGqn1,2021
5L87fjh5XZWERN4UGbK62TM1funxFvXSRUGmvbHBGqn1,SOL,rugpull_token,solrpds,Active,pool=821L241gacEqKJiCp9H7E9rqRXB31WoHLBqwhn8NMyWS,2021
3nesbuhAwCMGtsyypYtg4oRPwJ3FmHnytC5bqskhPh1x,SOL,rugpull_pool,solrpds,Active,mint=A94X2fRy3wydNShU4dRaDyap2UuoeWJGWyATtyp61WZf,2021
A94X2fRy3wydNShU4dRaDyap2UuoeWJGWyATtyp61WZf,SOL,rugpull_token,solrpds,Active,pool=3nesbuhAwCMGtsyypYtg4oRPwJ3FmHnytC5bqskhPh1x,2021
3nesbuhAwCMGtsyypYtg4oRPwJ3FmHnytC5bqskhPh1x,SOL,rugpull_pool,solrpds,Active,mint=9QBTKuSCDaJjtxYnYcVzoiKENMdJ5DRei5ZUCEeWyZnj,2021
9QBTKuSCDaJjtxYnYcVzoiKENMdJ5DRei5ZUCEeWyZnj,SOL,rugpull_token,solrpds,Active,pool=3nesbuhAwCMGtsyypYtg4oRPwJ3FmHnytC5bqskhPh1x,2021
85anbeqV36qqMvdVQw2ca7YRdJoBQ95DoUUFW9vC4Bav,SOL,rugpull_pool,solrpds,Active,mint=meebAU3nZrU5PbUt3dVK6ExgbNWCUAkV7C3DaJKMZZ4,2021
meebAU3nZrU5PbUt3dVK6ExgbNWCUAkV7C3DaJKMZZ4,SOL,rugpull_token,solrpds,Active,pool=85anbeqV36qqMvdVQw2ca7YRdJoBQ95DoUUFW9vC4Bav,2021
85anbeqV36qqMvdVQw2ca7YRdJoBQ95DoUUFW9vC4Bav,SOL,rugpull_pool,solrpds,Active,mint=EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,2021
AG1kioZxuXdVDKACnPoWe8ScVVkpeCm3nz9aHxBsNKBa,SOL,rugpull_pool,solrpds,Active,mint=BiDB55p4G3n1fGhwKFpxsokBMqgctL4qnZpDH1bVQxMD,2021
BiDB55p4G3n1fGhwKFpxsokBMqgctL4qnZpDH1bVQxMD,SOL,rugpull_token,solrpds,Active,pool=AG1kioZxuXdVDKACnPoWe8ScVVkpeCm3nz9aHxBsNKBa,2021
AG1kioZxuXdVDKACnPoWe8ScVVkpeCm3nz9aHxBsNKBa,SOL,rugpull_pool,solrpds,Active,mint=Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,2021
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,SOL,rugpull_token,solrpds,Active,pool=AG1kioZxuXdVDKACnPoWe8ScVVkpeCm3nz9aHxBsNKBa,2021
GtmAXdWvDr8pDZ3WYdY7wug2B7VbpWjSmifx46mjFCGD,SOL,rugpull_pool,solrpds,Active,mint=EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,2021
GtmAXdWvDr8pDZ3WYdY7wug2B7VbpWjSmifx46mjFCGD,SOL,rugpull_pool,solrpds,Active,mint=7Af1biRuBcAQTEU3YkWaGGtQDFoxYmqLMyrBNQKnuogn,2021
7Af1biRuBcAQTEU3YkWaGGtQDFoxYmqLMyrBNQKnuogn,SOL,rugpull_token,solrpds,Active,pool=GtmAXdWvDr8pDZ3WYdY7wug2B7VbpWjSmifx46mjFCGD,2021
76A3TPQRye36VuRPq17kWxSLJrjBqRAjtdE6aSeFLVtQ,SOL,rugpull_pool,solrpds,Active,mint=EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,2021
76A3TPQRye36VuRPq17kWxSLJrjBqRAjtdE6aSeFLVtQ,SOL,rugpull_pool,solrpds,Active,mint=HBxHiTHpmnps5ALo2jzZbVmUzPPpZsUT8wN8KtqkBU9h,2021
